Metodo,Acuracia
GaussianNB,0.6684979544126242
BernoulliNB,0.5412331969608417
KNeighborsClassifier(2),0.7509935710111046
KNeighborsClassifier(3),0.7337521917007598
KNeighborsClassifier(5),0.7097019286966686
KNeighborsClassifier(8),0.6873465809468148
DecisionTreeClassifier(),0.6995032144944477
RandomForestClassifier(3_estimators),0.7112507305669199
RandomForestClassifier(5_estimators),0.7321157218001169
RandomForestClassifier,0.7852425482174167
SVM,0.6615429573348919
MLPClassifier,0.6563413208649912
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
