,acc_score,f1_score
GaussianNB,0.52,0.5280898876404495
KNeighborsClassifier(8),0.6285714285714286,0.4715447154471545
DecisionTreeClassifier(),0.6628571428571428,0.4957264957264957
RandomForestClassifier,0.6857142857142857,0.4444444444444445
SVM,0.5885714285714285,0.5200000000000001
MLPClassifier,0.6114285714285714,0.5072463768115942
