,acc_score,f1_score
GaussianNB,0.6114285714285714,0.5584415584415584
KNeighborsClassifier(8),0.6914285714285714,0.4255319148936171
DecisionTreeClassifier(),0.64,0.3225806451612903
RandomForestClassifier,0.7142857142857143,0.40476190476190477
SVM,0.6685714285714286,0.5538461538461539
MLPClassifier,0.6571428571428571,0.4915254237288135
