,Discriminacao,Dificuldade,Adivinhacao
V197,14.405,-0.009,0.208
V198,4.408,-1.643,0.003
V199,25.668,-0.354,0.312
V200,2.283,-1.184,0.042
V201,3.397,-1.718,0.003
V202,3.849,-2.145,0.0
V203,4.436,-1.973,0.0
V204,1.968,-0.775,0.005
V205,2.947,-1.609,0.004
V206,10.635,-1.948,0.0
V207,12.725,-1.533,0.0
