Metodo,Acuracia
GaussianNB,0.5942857142857143
BernoulliNB,0.7142857142857143
KNeighborsClassifier(2),0.72
KNeighborsClassifier(3),0.6628571428571428
KNeighborsClassifier(5),0.6571428571428571
KNeighborsClassifier(8),0.68
DecisionTreeClassifier(),0.6628571428571428
RandomForestClassifier(3_estimators),0.6914285714285714
RandomForestClassifier(5_estimators),0.6971428571428572
RandomForestClassifier,0.7085714285714285
SVM,0.7142857142857143
MLPClassifier,0.7371428571428571
rand1,0.5314285714285715
rand2,0.5028571428571429
rand3,0.44
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
