,acc_score,f1_score
GaussianNB,0.7729468599033816,0.8185328185328187
KNeighborsClassifier(8),0.6328502415458938,0.6237623762376238
DecisionTreeClassifier(),0.8115942028985508,0.8296943231441049
RandomForestClassifier,0.8647342995169082,0.8793103448275862
SVM,0.6714975845410628,0.7687074829931972
MLPClassifier,0.7294685990338164,0.7333333333333334
