,acc_score,f1_score
GaussianNB,0.9135802469135802,0.9548387096774192
KNeighborsClassifier(8),0.8641975308641975,0.9266666666666666
DecisionTreeClassifier(),0.8518518518518519,0.9194630872483222
RandomForestClassifier,0.9135802469135802,0.9548387096774192
SVM,0.7654320987654321,0.8652482269503546
MLPClassifier,0.8888888888888888,0.9407894736842106
