,Discriminacao,Dificuldade,Adivinhacao
V1,0.749,-1.711,0.0
V2,-3.604,2.682,0.0
V3,-2.567,2.11,0.0
V4,0.286,-4.64,0.0
V5,0.28,-3.057,0.0
V6,-52.596,-3.081,0.073
V7,-43.285,2.078,0.0
V8,1.984,0.816,0.0
V9,2.115,1.768,0.0
V10,-96.424,-1.653,0.243
V11,-1.807,-11.695,0.563
V12,-89.382,-1.661,0.354
V13,-5.738,0.336,0.0
V14,1.901,2.24,0.0
V15,-121.369,0.679,0.105
V16,-133.382,-0.009,0.115
V17,-48.368,2.092,0.0
V18,-66.189,-3.0,0.073
V19,-43.281,2.078,0.0
V20,-42.693,2.02,0.0
V21,-82.751,0.027,0.077
V22,2.367,3.235,0.009
V23,-13.179,-0.74,0.167
V24,-49.85,2.024,0.0
V25,0.702,-1.51,0.0
V26,1.777,2.414,0.0
V27,-33.582,2.07,0.0
V28,1.702,0.724,0.0
V29,-39.682,2.044,0.0
V30,-76.205,-2.201,0.194
V31,-106.005,-1.709,0.283
V32,-34.476,2.751,0.0
V33,-37.882,2.055,0.0
V34,-3.403,1.501,0.0
V35,2.793,2.607,0.009
V36,-54.772,2.026,0.0
V37,0.88,-0.047,0.0
V38,1.504,1.157,0.0
V39,2.116,1.675,0.0
V40,2.953,0.497,0.0
V41,-116.902,1.084,0.21
V42,1.142,2.931,0.0
V43,-3.848,-0.324,0.06
V44,-3.096,2.559,0.0
V45,1.613,0.985,0.0
V46,-4.724,0.343,0.058
V47,-3.085,2.56,0.0
V48,-31.125,2.089,0.0
V49,2.406,0.29,0.0
V50,0.579,-1.734,0.0
V51,-34.494,2.751,0.0
V52,0.557,-2.0,0.0
V53,-3.099,2.558,0.0
V54,-4.115,1.858,0.0
V55,-37.961,2.055,0.0
V56,-32.618,0.698,0.158
V57,1.983,0.816,0.0
V58,-22.745,1.395,0.084
V59,-12.437,2.049,0.334
V60,2.195,0.605,0.0
V61,0.401,-1.675,0.0
V62,2.384,0.626,0.0
V63,1.666,2.615,0.0
V64,-3.884,1.678,0.0
V65,-38.024,2.082,0.0
V66,-59.343,2.432,0.0
V67,-31.122,2.089,0.0
V68,-100.769,0.006,0.115
V69,1.02,-0.278,0.0
V70,-1.73,2.946,0.0
