,Discriminacao,Dificuldade,Adivinhacao
V1,0.774,-2.373,0.086
V2,0.373,-6.129,0.104
V3,2.606,1.302,0.021
V4,0.125,-15.6,0.068
V5,0.858,-1.713,0.203
V6,0.981,-2.334,0.06
V7,0.509,-3.215,0.071
V8,0.729,-2.503,0.08
V9,0.333,-6.191,0.059
V10,0.66,-3.346,0.052
V11,0.63,-3.864,0.068
V12,2.394,2.84,0.018
V13,0.887,-2.163,0.07
V14,0.459,-5.639,0.123
V15,-3.123,-1.971,0.036
V16,-4.459,-1.164,0.081
V17,-5.531,-0.137,0.066
V18,-0.965,3.548,0.076
V19,-3.827,2.585,0.038
V20,-2.248,-3.205,0.028
V21,-3.244,2.59,0.077
V22,-2.073,-2.739,0.038
V23,-5.266,1.66,0.166
V24,-1.201,0.869,0.065
V25,-3.235,-1.827,0.063
V26,-3.379,-2.301,0.019
V27,-2.044,2.619,0.05
V28,-2.426,-0.021,0.195
V29,-3.246,2.895,0.043
V30,-3.511,-2.134,0.044
V31,-9.418,0.372,0.16
V32,-7.988,0.006,0.047
V33,-4.491,1.928,0.058
V34,-3.63,2.332,0.039
V35,-7.951,0.049,0.027
V36,-4.298,-0.011,0.128
V37,-1.937,0.529,0.066
V38,-3.527,-2.162,0.046
V39,-3.156,-0.912,0.045
V40,-2.168,-2.678,0.068
V41,-2.119,-0.802,0.025
V42,-3.129,2.503,0.044
V43,-1.946,3.138,0.052
V44,-4.374,2.982,0.114
V45,-4.493,-1.859,0.038
V46,-2.072,2.634,0.046
V47,-4.149,-1.992,0.064
V48,-3.5,2.524,0.078
V49,-3.805,-1.951,0.049
V50,-6.668,-1.14,0.012
V51,-5.255,-1.401,0.047
V52,-2.202,-2.802,0.04
V53,-5.684,-0.453,0.055
V54,-3.78,2.547,0.038
V55,-4.171,-1.806,0.067
V56,-3.187,-0.779,0.043
V57,-2.412,1.257,0.044
V58,-3.195,2.278,0.047
V59,-2.722,2.732,0.135
V60,-4.359,-1.612,0.021
V61,-2.442,-2.653,0.02
V62,-3.322,2.859,0.082
V63,-3.318,2.861,0.083
V64,-2.187,2.575,0.078
V65,-4.325,2.94,0.212
V66,-4.202,-1.787,0.03
V67,-2.09,-2.759,0.074
V68,-5.789,-1.321,0.051
V69,-11.149,1.391,0.743
V70,-3.893,-0.31,0.044
V71,-4.307,2.997,0.115
V72,-3.231,-0.35,0.045
V73,-3.341,2.871,0.138
V74,-2.625,-2.14,0.024
V75,-4.183,0.218,0.014
V76,-3.021,0.64,0.107
V77,-3.931,1.555,0.071
V78,-2.865,0.711,0.095
V79,-7.261,0.046,0.067
V80,-3.63,2.332,0.039
V81,-3.745,2.508,0.08
V82,-1.089,3.602,0.101
V83,-3.082,-1.058,0.041
V84,-4.213,2.962,0.199
V85,-1.301,3.231,0.083
V86,-1.99,-3.008,0.052
V87,-4.299,-0.572,0.093
V88,-4.35,1.652,0.038
V89,-1.968,-1.766,0.053
V90,-4.612,2.511,0.095
V91,-4.748,-1.856,0.018
V92,-3.894,-2.134,0.038
V93,-5.249,0.519,0.03
V94,-7.173,0.6,0.061
V95,-4.379,-1.685,0.012
V96,-6.388,0.074,0.109
V97,-3.147,-2.06,0.063
V98,-3.11,1.499,0.072
V99,-6.771,-0.492,0.039
V100,-3.344,2.867,0.139
V101,-4.187,-1.787,0.03
V102,-2.669,2.17,0.043
V103,-1.6,2.068,0.058
V104,-6.774,-1.169,0.03
V105,-1.465,-3.88,0.048
V106,-5.737,1.844,0.153
V107,-3.244,2.896,0.043
V108,-3.78,2.547,0.038
V109,-4.83,0.776,0.124
V110,-1.535,2.987,0.063
V111,-7.308,-0.179,0.096
V112,-1.244,2.541,0.055
V113,-3.245,2.589,0.078
V114,-4.586,2.515,0.096
V115,-6.275,0.236,0.056
V116,-1.088,3.604,0.101
V117,-7.805,0.283,0.061
V118,-3.598,-1.85,0.059
V119,-3.853,-2.12,0.047
V120,-3.986,2.051,0.036
V121,-4.126,-1.795,0.04
V122,-4.823,-1.732,0.038
V123,-3.779,2.548,0.038
V124,-10.639,1.445,0.724
V125,-1.208,3.605,0.09
V126,-9.388,-0.249,0.062
V127,-3.13,2.503,0.044
V128,-3.31,-0.34,0.07
V129,-3.768,0.974,0.153
V130,3.441,5.611,0.086
V131,-7.813,0.407,0.072
V132,-4.14,3.052,0.118
V133,-1.087,3.606,0.102
V134,-3.106,-2.411,0.017
V135,-3.632,0.339,0.086
V136,-3.826,2.585,0.039
V137,-3.262,-1.611,0.067
V138,-4.284,-1.888,0.011
V139,-10.475,1.458,0.72
V140,-4.577,-1.856,0.047
V141,-4.115,-1.859,0.054
V142,-3.962,-1.786,0.047
V143,-3.134,2.776,0.122
V144,-3.245,2.589,0.078
V145,-1.384,2.857,0.048
V146,-2.713,-2.646,0.038
V147,-5.133,0.133,0.054
V148,-6.186,0.818,0.156
V149,-3.229,-2.302,0.047
V150,-3.504,-1.828,0.057
V151,-3.867,1.356,0.132
V152,-3.798,-2.141,0.01
V153,-1.295,2.974,0.084
V154,-3.245,2.589,0.079
V155,-3.181,-0.413,0.041
V156,-3.779,2.548,0.039
V157,-0.457,-0.844,0.076
V158,-10.266,1.259,0.192
V159,-4.811,-1.366,0.021
V160,-4.256,-1.979,0.047
V161,-10.381,1.133,0.21
V162,-2.803,-2.78,0.019
