Metodo,Acuracia
GaussianNB,0.9119254658385094
BernoulliNB,0.4552173913043479
KNeighborsClassifier(2),0.8137888198757764
KNeighborsClassifier(3),0.8281987577639752
KNeighborsClassifier(5),0.8222774327122153
KNeighborsClassifier(8),0.8324223602484471
DecisionTreeClassifier(),0.9103726708074535
RandomForestClassifier(3_estimators),0.9320910973084887
RandomForestClassifier(5_estimators),0.9523395445134577
RandomForestClassifier,0.9754865424430642
SVM,0.7919254658385093
MLPClassifier,0.8049896480331263
rand1,0.5370370370370371
rand2,0.41358024691358025
rand3,0.5123456790123457
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
