,Discriminacao,Dificuldade,Adivinhacao
V1,5.471,-1.586,0.041
V2,3.837,-1.317,0.064
V3,4.667,-1.527,0.053
V4,-1.37,-1.155,0.004
V5,6.58,-1.36,0.047
V6,4.366,-1.609,0.074
V7,5.989,-1.426,0.042
V8,4.198,-1.871,0.054
V9,5.957,-1.427,0.049
V10,-1.825,-3.231,0.092
V11,7.325,-1.626,0.083
V12,5.414,-1.137,0.052
V13,-1.685,-1.442,0.004
V14,6.445,-1.361,0.043
V15,4.445,-1.602,0.077
V16,4.194,-1.435,0.108
V17,-1.419,-1.525,0.006
V18,-1.832,-1.313,0.003
V19,4.344,-1.565,0.052
V20,4.262,-1.358,0.057
V21,-1.42,-1.571,0.007
V22,-0.91,0.765,0.008
V23,0.194,-4.377,0.119
V24,-1.577,-1.285,0.003
V25,6.257,-1.059,0.06
V26,4.165,-1.769,0.056
V27,-1.254,-0.574,0.005
V28,6.99,-1.632,0.268
V29,5.333,-1.59,0.052
V30,-0.348,-28.388,0.084
V31,-1.023,-7.69,0.083
V32,-0.925,-0.225,0.008
V33,4.07,-1.169,0.065
V34,6.308,1.0,0.459
V35,7.297,-1.764,0.091
V36,5.989,-1.426,0.042
V37,4.116,-1.416,0.055
V38,-0.819,-0.527,0.009
V39,5.272,-1.371,0.043
V40,5.471,-1.586,0.041
V41,7.308,-1.626,0.083
V42,5.485,-1.074,0.054
V43,6.127,-1.492,0.037
V44,6.383,-0.905,0.051
V45,7.689,-1.252,0.037
V46,5.84,-1.304,0.049
V47,2.537,2.181,0.271
V48,6.025,-1.302,0.049
V49,5.364,-1.685,0.044
V50,4.167,-0.98,0.093
V51,-1.636,-1.07,0.004
V52,2.338,-1.315,0.068
V53,-1.2,-1.048,0.08
V54,1.623,-0.868,0.121
V55,7.303,-1.626,0.084
V56,-2.694,-2.554,0.15
V57,-1.266,-1.697,0.032
V58,-1.419,-0.523,0.005
V59,5.364,-1.685,0.044
V60,5.47,-1.585,0.041
V61,1.478,6.435,0.286
V62,7.283,-1.764,0.092
V63,0.183,33.366,0.31
V64,3.616,-1.539,0.059
V65,4.143,-1.744,0.061
V66,-1.143,0.153,0.006
V67,1.537,-0.842,0.15
V68,-1.7,-1.567,0.003
V69,-1.155,-1.697,0.005
V70,8.162,1.144,0.307
V71,-1.649,-3.802,0.104
V72,7.425,-0.682,0.065
V73,5.989,-1.426,0.042
V74,-1.778,-0.938,0.003
V75,5.656,1.451,0.257
V76,6.575,-1.36,0.047
V77,4.206,-1.412,0.053
V78,3.205,-1.86,0.069
V79,1.505,-1.001,0.133
V80,7.544,0.522,0.41
V81,-1.566,-1.412,0.008
V82,5.45,-1.683,0.041
V83,9.732,0.444,0.273
V84,4.663,-1.526,0.048
V85,5.491,-1.585,0.04
V86,1.809,-1.259,0.056
V87,6.025,-1.302,0.049
V88,-1.407,-1.665,0.007
V89,2.19,-1.135,0.089
V90,5.75,-1.499,0.038
V91,-1.336,-2.09,0.006
V92,4.37,-1.608,0.075
V93,1.376,-0.72,0.119
V94,5.363,-1.685,0.045
V95,5.266,-0.907,0.083
V96,7.278,-1.764,0.093
V97,7.277,-0.57,0.256
V98,5.426,-1.586,0.044
V99,5.421,-1.369,0.047
V100,4.972,-1.443,0.047
V101,7.286,-1.626,0.084
V102,-0.534,-1.356,0.049
V103,2.863,-0.401,0.302
V104,1.979,-0.434,0.161
V105,7.28,-1.626,0.085
V106,8.746,0.867,0.266
V107,7.485,-0.587,0.162
V108,3.582,-1.382,0.056
V109,4.573,-1.476,0.051
V110,6.725,-0.309,0.452
V111,7.239,-0.85,0.034
V112,4.989,-1.686,0.074
V113,5.42,-1.369,0.047
V114,5.483,-0.969,0.22
V115,5.989,-1.426,0.042
V116,-1.445,-1.902,0.005
V117,4.785,-1.47,0.053
V118,2.808,-1.391,0.065
V119,5.47,-1.585,0.042
V120,2.969,-1.376,0.103
V121,4.893,-0.83,0.291
V122,5.827,-0.786,0.111
V123,7.793,-0.942,0.026
V124,5.649,-1.5,0.045
V125,5.842,1.797,0.506
V126,-2.896,-0.555,0.002
V127,7.902,0.152,0.427
V128,-3.212,-1.906,0.003
V129,-2.717,-0.729,0.004
V130,7.667,1.41,0.648
V131,-1.474,-0.975,0.006
V132,-2.332,-1.266,0.005
V133,6.94,-0.43,0.564
V134,4.331,1.657,0.346
V135,1.602,-1.826,0.126
V136,-2.1,-1.821,0.003
V137,11.384,-0.54,0.544
V138,-3.004,-1.106,0.003
V139,-2.217,-1.529,0.003
V140,0.317,-0.162,0.492
V141,8.547,-0.569,0.544
V142,3.213,-0.085,0.496
V143,-3.341,-2.031,0.003
V144,5.651,1.387,0.209
V145,4.404,-0.499,0.568
V146,-3.224,-1.187,0.002
V147,2.269,-0.552,0.498
V148,11.118,0.531,0.195
V149,4.866,-0.676,0.509
V150,4.1,-0.244,0.585
V151,5.589,-0.677,0.475
V152,-0.731,-0.496,0.02
V153,-3.151,-1.735,0.111
V154,-1.581,-1.389,0.004
V155,-2.155,-1.482,0.003
V156,-1.69,-0.164,0.005
V157,2.426,-1.158,0.326
V158,-2.609,-1.322,0.003
V159,-3.087,-1.263,0.002
V160,-3.299,-1.678,0.002
V161,1.828,-1.097,0.203
V162,10.153,-0.334,0.467
V163,-1.363,-1.869,0.006
V164,-2.595,-1.595,0.003
V165,1.297,-0.92,0.54
V166,1.603,-1.505,0.153
V167,-2.602,-1.045,0.003
V168,8.903,-0.491,0.685
V169,-1.728,-0.163,0.005
V170,0.541,-1.166,0.253
V171,-1.984,-1.038,0.004
V172,-4.2,-1.04,0.002
V173,10.262,0.564,0.175
V174,-2.286,-2.293,0.003
V175,-2.566,-0.956,0.003
