,Discriminacao,Dificuldade,Adivinhacao
V1,10.521,-1.976,0.166
V2,-0.902,-1.224,0.0
V3,11.179,-2.023,0.002
V4,-1.712,-1.259,0.0
V5,0.495,-5.33,0.092
V6,-1.96,-1.39,0.0
V7,0.25,-5.972,0.138
V8,-1.428,0.15,0.0
V9,3.489,-1.754,0.003
V10,4.957,-1.848,0.002
V11,-0.515,-0.07,0.0
V12,7.429,-1.302,0.227
V13,-0.594,-0.764,0.0
V14,5.229,-1.786,0.66
V15,-1.388,0.859,0.0
V16,-2.676,-1.889,0.0
V17,-1.749,-0.373,0.0
V18,-1.798,-1.918,0.0
V19,0.394,-4.527,0.118
V20,8.04,-1.793,0.001
V21,17.036,-0.64,0.422
V22,9.088,-2.081,0.002
V23,-0.429,-4.906,0.001
V24,0.874,-2.296,0.004
V25,1.477,-2.086,0.007
V26,-0.696,0.627,0.0
V27,0.424,-5.002,0.111
V28,2.636,-1.634,0.004
V29,0.411,-4.875,0.098
V30,2.366,-3.043,0.083
V31,-1.792,-1.481,0.0
V32,-0.888,0.716,0.0
V33,4.545,-2.151,0.002
V34,-1.94,-1.378,0.0
V35,5.036,-1.692,0.001
V36,9.035,-2.082,0.0
V37,4.858,-1.858,0.002
V38,-1.113,0.792,0.0
V39,13.829,-1.92,0.001
V40,0.356,-5.805,0.139
V41,-1.056,0.541,0.0
V42,2.267,-3.06,0.083
V43,2.664,-1.908,0.004
V44,4.096,-1.913,0.002
V45,-0.528,0.138,0.0
V46,2.495,-1.513,0.004
V47,-3.003,-1.759,0.0
V48,4.379,-1.457,0.616
V49,1.978,-1.192,0.003
V50,10.617,1.239,0.188
V51,3.447,-1.739,0.003
V52,14.121,1.098,0.506
V53,0.509,-2.866,0.29
V54,-3.486,-2.073,0.0
V55,4.067,-2.03,0.002
V56,-2.483,-2.118,0.0
V57,-1.307,-0.876,0.0
V58,-1.491,-2.773,0.0
V59,-0.988,-3.092,0.0
V60,9.606,-1.621,0.461
V61,18.989,-0.39,0.392
V62,-2.611,-1.632,0.0
V63,8.04,-1.793,0.001
V64,2.283,1.139,0.639
V65,6.703,-1.887,0.002
V66,11.631,-1.971,0.002
V67,-1.171,-0.915,0.0
V68,3.554,-1.955,0.142
V69,16.173,-0.048,0.171
V70,10.933,-1.966,0.002
V71,-3.579,-2.152,0.084
V72,1.461,-1.017,0.128
V73,3.046,-1.895,0.53
V74,4.579,-0.882,0.333
V75,4.096,-1.913,0.002
V76,-0.625,0.384,0.0
V77,10.481,-0.259,0.37
V78,4.855,-1.858,0.002
V79,6.194,-1.889,0.002
V80,4.594,-1.357,0.363
V81,-1.763,-0.601,0.0
V82,3.863,-1.858,0.003
V83,3.152,0.578,0.705
V84,10.757,-2.023,0.002
V85,-1.306,-1.728,0.0
V86,4.624,-1.878,0.637
V87,2.183,-1.57,0.007
V88,11.064,1.059,0.141
V89,2.638,-1.783,0.002
V90,8.393,-1.792,0.001
V91,-3.088,-1.383,0.0
V92,1.824,-2.932,0.098
V93,5.43,-1.973,0.002
V94,5.455,0.772,0.702
V95,1.689,-3.403,0.083
V96,2.814,-1.656,0.124
V97,4.866,-1.858,0.002
V98,16.671,-0.584,0.414
V99,5.548,-1.971,0.002
V100,-2.015,-1.466,0.0
V101,-1.571,-0.479,0.0
V102,5.12,-2.324,0.001
V103,4.834,-2.072,0.002
V104,1.623,-2.157,0.003
V105,1.897,-1.289,0.019
V106,0.413,-3.698,0.154
V107,2.366,-3.042,0.084
V108,6.267,-1.889,0.002
V109,0.579,-4.075,0.119
V110,9.088,-2.081,0.002
V111,0.352,-4.798,0.118
V112,4.346,-1.39,0.744
V113,2.86,-3.141,0.005
V114,-2.594,-1.803,0.0
V115,8.791,-1.205,0.454
V116,0.293,-3.814,0.089
V117,1.77,-3.111,0.127
V118,7.912,1.325,0.353
V119,-1.182,-1.78,0.0
V120,8.769,-1.671,0.372
V121,-3.816,-2.124,0.0
V122,4.92,-1.254,0.37
V123,2.367,-3.041,0.085
V124,8.789,1.541,0.353
V125,3.0,-2.193,0.192
V126,3.747,-1.972,0.002
V127,4.856,-1.857,0.002
V128,0.519,-0.306,0.499
V129,10.757,-2.023,0.002
V130,-1.218,0.081,0.0
V131,5.562,-1.972,0.002
V132,3.702,-1.804,0.004
V133,4.067,-1.667,0.274
V134,1.655,0.484,0.715
V135,1.486,-1.405,0.274
V136,5.432,-1.726,0.003
V137,7.72,1.289,0.318
V138,-1.824,-0.439,0.0
V139,3.482,-2.22,0.214
V140,3.357,-1.648,0.002
V141,13.828,-1.92,0.001
V142,7.033,1.237,0.341
V143,8.393,-1.792,0.001
V144,8.36,1.502,0.365
V145,10.376,-0.06,0.249
V146,-2.079,-2.473,0.0
V147,4.396,-1.942,0.002
V148,7.675,0.031,0.192
V149,12.656,0.442,0.162
V150,3.888,-1.5,0.001
V151,5.082,-1.85,0.002
V152,5.347,1.369,0.601
V153,5.085,-1.849,0.002
V154,2.368,-3.039,0.087
V155,-1.215,0.873,0.0
V156,8.577,1.468,0.306
V157,3.363,1.226,0.615
V158,-2.007,-2.57,0.0
V159,6.077,-1.887,0.176
V160,3.528,-1.368,0.711
V161,1.6,-2.32,0.369
V162,1.651,-3.438,0.076
V163,4.109,-1.906,0.002
V164,-2.616,-2.399,0.0
V165,3.206,-1.846,0.005
V166,1.255,-1.7,0.004
V167,-1.47,-3.017,0.0
V168,4.455,-2.149,0.002
V169,-0.636,-0.554,0.0
V170,-0.318,-4.66,0.001
V171,3.892,-2.299,0.307
V172,3.954,-1.102,0.299
V173,-1.416,-0.512,0.0
V174,1.947,-1.592,0.132
V175,4.957,-1.851,0.002
V176,4.382,-1.945,0.002
V177,5.797,1.207,0.577
V178,9.474,-2.08,0.002
V179,0.237,-5.428,0.131
V180,2.074,-2.595,0.307
V181,0.258,-5.156,0.101
V182,5.33,-1.974,0.002
V183,18.781,-0.497,0.355
V184,11.537,0.344,0.415
V185,4.049,-2.033,0.002
V186,1.312,-3.328,0.131
V187,3.683,-2.156,0.273
V188,2.219,-2.834,0.174
V189,5.082,-1.85,0.002
V190,2.255,-1.681,0.142
V191,1.159,-1.301,0.008
V192,-1.594,-1.663,0.0
V193,-1.349,-0.674,0.0
V194,9.656,1.141,0.576
V195,5.43,-1.973,0.002
V196,1.965,-1.8,0.003
V197,4.341,-1.766,0.003
V198,6.011,-2.427,0.001
V199,2.268,-3.059,0.084
V200,3.246,-1.89,0.003
V201,5.363,-1.973,0.002
V202,-1.958,-0.78,0.0
V203,0.719,-4.536,0.084
V204,-0.37,-2.636,0.001
V205,1.282,-2.26,0.005
V206,-1.17,0.096,0.0
V207,5.363,-1.973,0.002
