,Discriminacao,Dificuldade,Adivinhacao
V1,0.674,-3.898,0.0
V2,-0.031,70.528,0.171
V3,3.788,2.464,0.009
V4,0.845,-2.54,0.0
V5,0.298,-7.634,0.0
V6,0.363,-4.066,0.0
V7,0.068,-33.44,0.117
V8,0.51,-3.496,0.0
V9,-0.657,5.109,0.0
V10,0.062,-31.318,0.063
V11,-0.248,12.647,0.006
V12,-0.338,6.832,0.002
V13,-0.384,6.648,0.0
V14,0.644,-2.259,0.0
V15,-1.757,2.195,0.0
V16,-54.067,-3.102,0.051
V17,-4.818,-1.596,0.061
V18,-35.639,2.049,0.0
V19,-2.898,1.47,0.0
V20,-81.97,-1.366,0.079
V21,-21.665,2.049,0.0
V22,-5.808,-1.76,0.03
V23,-29.931,2.086,0.0
V24,-89.379,-2.07,0.037
V25,-5.24,-1.725,0.101
V26,-201.818,0.381,0.161
V27,-85.343,-2.051,0.083
V28,-36.822,2.019,0.0
V29,-3.505,1.813,0.0
V30,-36.833,2.019,0.0
V31,-105.874,-3.013,0.068
V32,-97.135,-2.068,0.037
V33,-4.378,1.629,0.0
V34,-3.412,-1.789,0.127
V35,-35.636,2.049,0.0
V36,-4.378,1.629,0.0
V37,-39.557,2.077,0.0
V38,-110.222,0.007,0.134
V39,-55.707,2.37,0.0
V40,-122.886,-1.353,0.03
V41,-31.564,2.049,0.0
V42,-3.505,1.813,0.0
V43,-55.677,2.377,0.0
V44,-3.504,1.813,0.0
V45,-33.318,0.041,0.35
V46,-3.928,1.93,0.0
V47,-4.378,1.629,0.0
V48,-124.189,1.357,0.0
V49,-3.07,1.989,0.0
V50,-49.324,0.684,0.285
V51,-135.474,-0.007,0.135
V52,-3.931,1.93,0.0
V53,-38.383,-2.009,0.056
V54,-93.453,-2.075,0.093
V55,-5.035,-1.9,0.041
V56,-2.898,1.47,0.0
V57,-5.277,0.477,0.13
V58,-57.742,-2.039,0.083
V59,-33.908,2.082,0.0
V60,-62.742,2.032,0.0
V61,-62.733,2.032,0.0
V62,-4.768,0.436,0.141
V63,-3.927,1.93,0.0
V64,-5.88,0.523,0.212
V65,-114.611,0.018,0.161
V66,-3.323,0.484,0.189
V67,-3.673,-2.449,0.066
V68,-3.504,1.813,0.0
V69,-84.149,-2.059,0.046
V70,-4.389,-0.316,0.023
V71,-2.044,1.761,0.0
V72,-4.361,1.629,0.0
V73,-30.308,1.374,0.0
V74,-2.203,1.47,0.0
V75,-3.558,2.103,0.0
V76,-3.505,1.813,0.0
V77,-29.163,-2.052,0.046
V78,-5.007,-0.079,0.054
V79,-66.195,1.381,0.0
V80,-171.667,-0.318,0.03
V81,-3.069,1.99,0.0
V82,-2.191,0.45,0.117
V83,-4.379,1.628,0.0
V84,-21.847,2.049,0.0
V85,-4.361,1.629,0.0
V86,-137.242,-1.376,0.05
V87,-2.828,-2.783,0.034
V88,-55.856,2.406,0.0
V89,-3.789,-2.556,0.054
V90,-72.259,-3.107,0.051
V91,-6.969,-0.35,0.055
V92,-2.799,-2.18,0.053
V93,-38.106,-2.052,0.056
V94,-1.272,-2.017,0.155
V95,-97.642,1.731,0.0
V96,-2.915,1.875,0.0
V97,-3.928,1.931,0.0
V98,-170.169,0.444,0.242
V99,-181.804,-0.127,0.09
V100,-49.149,0.039,0.461
V101,-31.565,2.049,0.0
V102,-4.361,1.629,0.0
V103,-1.597,2.068,0.0
V104,-31.567,2.049,0.0
V105,-98.071,-2.067,0.028
V106,-3.416,1.696,0.0
V107,-124.19,1.357,0.0
V108,-3.637,-0.316,0.113
V109,-56.016,2.411,0.0
V110,-3.07,1.989,0.0
V111,-1.187,-2.381,0.126
V112,-90.069,-3.119,0.043
V113,-84.85,-2.059,0.037
V114,-5.595,-0.18,0.078
V115,-3.67,-1.589,0.072
V116,-31.566,1.367,0.111
V117,-124.191,1.357,0.0
V118,-33.904,2.082,0.0
V119,-67.205,-2.077,0.037
V120,-225.886,-0.974,0.069
V121,-116.52,0.667,0.284
V122,-49.985,1.388,0.0
V123,-35.634,2.049,0.0
V124,-3.482,1.578,0.0
V125,-3.482,1.578,0.0
V126,-228.365,-1.002,0.168
V127,-4.911,-1.148,0.027
V128,-24.93,1.359,0.222
V129,-1.262,-2.619,0.226
V130,-103.499,1.353,0.112
V131,-105.764,-2.395,0.035
V132,-29.643,2.086,0.0
V133,-2.005,-1.695,0.135
V134,-33.901,2.082,0.0
V135,-3.504,1.813,0.0
V136,-96.566,-2.067,0.019
V137,-129.437,-1.376,0.04
V138,-37.04,-2.071,0.037
V139,-110.007,-1.363,0.05
V140,-62.723,2.032,0.0
V141,-3.929,1.93,0.0
V142,-1.785,0.91,0.0
V143,-1.845,0.851,0.0
V144,-120.995,0.007,0.081
V145,-2.148,1.82,0.0
V146,-39.55,2.077,0.0
V147,-5.372,-0.254,0.092
V148,-119.579,-1.378,0.049
V149,-4.378,1.629,0.0
V150,-2.214,1.706,0.0
V151,-7.585,0.403,0.218
V152,-113.5,-2.424,0.07
V153,-2.358,1.76,0.0
V154,-3.273,1.147,0.0
V155,-3.415,1.696,0.0
V156,-110.724,0.004,0.054
V157,-107.022,-1.37,0.04
V158,-84.326,-2.059,0.037
V159,-61.77,-3.111,0.026
V160,-93.592,0.004,0.352
V161,-3.48,-0.236,0.175
V162,-150.416,-0.013,0.081
