Metodo,Acuracia
GaussianNB,0.659512987012987
BernoulliNB,0.47064935064935065
KNeighborsClassifier(2),0.7387337662337662
KNeighborsClassifier(3),0.7261363636363637
KNeighborsClassifier(5),0.6885714285714286
KNeighborsClassifier(8),0.6508116883116883
DecisionTreeClassifier(),0.7014285714285714
RandomForestClassifier(3_estimators),0.6865909090909093
RandomForestClassifier(5_estimators),0.7262012987012987
RandomForestClassifier,0.7748701298701299
SVM,0.6433441558441559
MLPClassifier,0.6612987012987013
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
