,acc_score,f1_score
GaussianNB,0.5485714285714286,0.5433526011560694
KNeighborsClassifier(8),0.68,0.5333333333333333
DecisionTreeClassifier(),0.5942857142857143,0.4033613445378151
RandomForestClassifier,0.68,0.47169811320754723
SVM,0.5771428571428572,0.5256410256410257
MLPClassifier,0.6228571428571429,0.5285714285714286
