Metodo,Acuracia
GaussianNB,0.6349624060150376
BernoulliNB,0.5157894736842106
KNeighborsClassifier(2),0.7234649122807018
KNeighborsClassifier(3),0.7305451127819549
KNeighborsClassifier(5),0.7074248120300752
KNeighborsClassifier(8),0.680795739348371
DecisionTreeClassifier(),0.7483082706766917
RandomForestClassifier(3_estimators),0.7213972431077693
RandomForestClassifier(5_estimators),0.725093984962406
RandomForestClassifier,0.7838032581453633
SVM,0.6207706766917294
MLPClassifier,0.6239348370927318
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
