,Discriminacao,Dificuldade,Adivinhacao
V197,2.323,-2.219,0.023
V198,-0.919,-2.093,0.004
V199,5.237,-1.731,0.017
V200,6.845,0.594,0.394
V201,-0.569,-1.108,0.003
V202,-0.938,-1.686,0.003
V203,4.814,-1.936,0.017
V204,2.325,-1.637,0.022
V205,3.666,0.21,0.503
V206,1.203,-3.039,0.192
V207,-1.014,-1.675,0.003
