,Discriminacao,Dificuldade,Adivinhacao
V1,6.62,-2.001,0.008
V2,5.163,-1.917,0.009
V3,1.982,-2.24,0.019
V4,5.981,-2.136,0.009
V5,6.17,-2.128,0.009
V6,0.677,-3.395,0.132
V7,-1.137,-1.885,0.001
V8,1.272,-1.582,0.11
V9,4.341,-1.792,0.01
V10,1.108,-3.981,0.095
V11,0.342,1.396,0.131
V12,7.452,-1.869,0.007
V13,-1.734,-1.903,0.001
V14,3.136,0.023,0.484
V15,8.987,-0.117,0.319
V16,-0.453,1.322,0.015
V17,0.835,-3.839,0.115
V18,10.286,-0.623,0.448
V19,5.981,-2.136,0.009
V20,5.654,-0.448,0.517
V21,1.994,-1.812,0.021
V22,6.357,-2.228,0.009
V23,0.924,-4.298,0.1
V24,4.931,0.938,0.379
V25,1.074,-1.839,0.113
V26,-4.873,-2.308,0.007
V27,0.825,-2.639,0.207
V28,5.573,-0.358,0.67
V29,-0.809,-1.118,0.001
V30,-0.953,-1.964,0.001
V31,1.258,-3.746,0.08
V32,0.923,-4.304,0.099
V33,13.407,-0.142,0.533
V34,-2.769,-2.196,0.04
V35,4.095,-1.566,0.107
V36,-1.061,-0.841,0.001
V37,3.569,-0.72,0.441
V38,2.594,-2.466,0.016
V39,15.044,-0.146,0.404
V40,7.452,-1.869,0.007
V41,6.17,-2.127,0.009
V42,-4.995,-2.034,0.006
V43,0.861,-2.053,0.025
V44,6.62,-2.001,0.008
V45,-1.986,-2.095,0.001
V46,1.957,-0.696,0.547
V47,1.266,-1.982,0.019
V48,-1.889,-1.861,0.002
V49,-1.963,-2.033,0.001
V50,6.449,-2.01,0.008
V51,-3.038,-2.155,0.021
V52,4.577,-2.05,0.009
V53,1.068,-3.524,0.135
V54,4.31,-2.021,0.009
V55,3.814,-0.485,0.688
V56,1.641,-2.195,0.046
V57,6.17,-2.127,0.009
V58,6.17,-2.127,0.009
V59,3.414,-2.215,0.019
V60,-1.45,-1.637,0.001
V61,-3.775,-2.391,0.183
V62,-0.6,-1.108,0.002
V63,-1.519,-1.703,0.001
V64,4.524,-2.053,0.009
V65,7.434,-0.12,0.229
V66,13.863,-0.02,0.453
V67,1.03,-2.598,0.014
V68,6.357,-2.228,0.009
V69,-4.417,-2.11,0.058
V70,7.593,-0.442,0.663
V71,1.563,-2.323,0.017
V72,3.435,-0.617,0.718
V73,3.016,-2.035,0.008
V74,0.451,-2.425,0.032
V75,-2.112,-2.016,0.087
V76,1.522,-2.258,0.018
V77,2.204,-2.016,0.009
V78,1.946,-2.016,0.02
V79,1.557,-2.176,0.011
V80,6.356,-2.228,0.009
V81,1.054,-1.885,0.094
V82,1.07,-1.92,0.03
