,Discriminacao,Dificuldade,Adivinhacao
V1,3.888,-1.997,0.018
V2,3.032,-1.945,0.02
V3,2.156,-2.207,0.032
V4,4.169,-2.123,0.019
V5,3.552,-2.146,0.02
V6,0.509,-4.781,0.095
V7,-1.041,-1.817,0.024
V8,1.327,-1.72,0.087
V9,2.516,-1.815,0.022
V10,1.01,-3.927,0.071
V11,-0.309,-3.798,0.074
V12,4.525,-1.834,0.016
V13,-1.712,-1.679,0.003
V14,6.894,-0.106,0.469
V15,7.785,-0.146,0.292
V16,-0.429,1.196,0.035
V17,0.734,-4.204,0.085
V18,1.291,-2.104,0.177
V19,4.169,-2.122,0.019
V20,5.151,-0.373,0.517
V21,1.969,-1.765,0.038
V22,3.411,-2.297,0.021
V23,0.869,-4.231,0.075
V24,3.642,0.868,0.371
V25,1.043,-1.801,0.166
V26,-3.896,-2.282,0.008
V27,0.644,-3.527,0.128
V28,4.676,-0.384,0.654
V29,-0.715,-1.268,0.004
V30,-1.099,-1.702,0.007
V31,0.971,-4.325,0.066
V32,0.833,-4.129,0.082
V33,7.627,-0.233,0.524
V34,-2.872,-2.106,0.038
V35,2.513,-1.761,0.066
V36,-1.121,-0.884,0.004
V37,2.79,-0.813,0.338
V38,2.221,-2.46,0.028
V39,8.919,-0.238,0.421
V40,4.527,-1.834,0.016
V41,3.553,-2.146,0.02
V42,-4.332,-1.974,0.008
V43,0.86,-1.771,0.054
V44,3.892,-1.996,0.018
V45,-2.104,-1.959,0.003
V46,1.08,-2.579,0.108
V47,1.161,-1.679,0.046
V48,-2.462,-1.603,0.004
V49,-2.104,-1.959,0.003
V50,2.598,-2.005,0.02
V51,-3.131,-2.072,0.02
V52,2.745,-2.1,0.021
V53,0.897,-3.948,0.083
V54,3.24,-2.033,0.021
V55,2.644,-0.438,0.607
V56,1.555,-2.413,0.049
V57,3.554,-2.145,0.019
V58,3.556,-2.145,0.019
V59,2.301,-2.297,0.03
V60,-1.443,-1.854,0.075
V61,-3.292,-2.233,0.149
V62,-0.655,-0.808,0.007
V63,-1.603,-1.67,0.005
V64,2.745,-2.101,0.021
V65,6.662,0.206,0.223
V66,7.139,-0.096,0.475
V67,0.944,-2.317,0.036
V68,3.413,-2.297,0.021
V69,-3.198,-2.0,0.034
V70,4.428,-0.166,0.647
V71,1.309,-2.368,0.036
V72,0.852,-2.552,0.209
V73,4.579,-1.973,0.019
V74,0.217,-2.434,0.084
V75,-1.568,-1.766,0.006
V76,1.145,-2.187,0.042
V77,1.753,-2.032,0.024
V78,2.075,-2.011,0.037
V79,0.214,-5.372,0.077
V80,3.413,-2.297,0.021
V81,1.094,-1.882,0.089
V82,0.933,-2.059,0.055
V83,1.04,-3.013,0.124
V84,2.5,-1.821,0.02
V85,-0.539,0.634,0.052
V86,3.413,-2.297,0.021
V87,-4.067,-2.481,0.008
V88,-1.158,-1.634,0.003
V89,2.18,-2.198,0.033
V90,3.366,-0.408,0.594
V91,-0.783,-0.624,0.004
V92,0.129,-2.134,0.062
V93,1.352,-1.0,0.026
V94,-0.459,-2.291,0.008
V95,3.735,-1.862,0.02
V96,4.184,-1.96,0.019
V97,5.839,0.106,0.373
V98,3.788,-1.571,0.035
V99,11.451,-0.394,0.459
V100,6.418,0.231,0.422
V101,4.931,-1.945,0.016
V102,-1.141,0.467,0.013
V103,-0.956,-0.532,0.005
V104,-2.176,-2.49,0.052
V105,5.507,-1.341,0.014
V106,2.398,-1.236,0.02
V107,-0.535,-2.659,0.008
V108,4.381,-2.116,0.018
V109,12.625,-0.307,0.234
V110,3.341,-1.414,0.027
V111,0.698,-0.913,0.035
V112,0.272,-1.099,0.03
V113,12.683,-0.328,0.316
V114,3.809,-1.875,0.022
V115,3.076,-1.247,0.035
V116,3.579,-1.658,0.026
V117,7.661,-1.229,0.067
V118,3.908,-2.003,0.017
V119,1.978,-1.548,0.029
V120,7.186,-1.551,0.013
V121,4.381,-2.115,0.018
V122,-0.546,-2.06,0.005
V123,9.36,-0.012,0.399
V124,9.117,-0.086,0.234
V125,5.184,-1.403,0.031
V126,3.541,-1.616,0.021
V127,1.865,0.212,0.292
V128,5.012,-1.327,0.082
V129,9.971,-0.12,0.213
V130,5.678,-1.398,0.037
V131,2.285,-1.76,0.027
V132,1.203,-1.476,0.033
V133,2.911,-1.859,0.019
V134,7.192,0.941,0.351
V135,-0.263,-32.294,0.124
V136,-2.979,-2.5,0.079
V137,2.752,-2.102,0.021
V138,-0.508,-3.551,0.005
V139,4.571,-1.838,0.015
V140,2.877,-1.284,0.017
V141,3.943,-1.87,0.019
V142,4.86,-1.499,0.026
V143,-0.312,-14.22,0.022
V144,-0.482,-4.864,0.007
V145,1.648,0.822,0.368
V146,5.585,0.336,0.414
V147,5.66,-1.513,0.011
V148,4.935,-1.944,0.016
V149,4.573,-1.838,0.015
V150,3.767,-1.526,0.024
V151,-1.83,-2.246,0.029
V152,5.855,-1.78,0.013
V153,4.139,-1.269,0.158
V154,11.099,-0.2,0.297
V155,1.991,-1.691,0.03
V156,0.492,-0.514,0.033
V157,-0.583,-3.292,0.004
V158,-0.721,-2.01,0.005
V159,1.154,-1.643,0.031
V160,2.058,-1.923,0.022
V161,-0.054,-3.662,0.03
V162,6.248,-1.557,0.014
V163,-1.172,-2.143,0.003
V164,4.669,-1.613,0.022
V165,6.764,0.261,0.368
V166,1.709,-1.862,0.036
V167,4.94,-1.944,0.016
V168,6.348,-1.646,0.014
V169,11.175,-0.44,0.45
V170,-0.419,-1.617,0.022
V171,-0.193,-4.022,0.026
V172,3.662,-1.884,0.02
V173,0.668,-1.831,0.042
V174,2.23,-1.427,0.025
V175,11.516,-0.349,0.422
V176,9.409,-0.635,0.403
V177,4.659,-1.61,0.021
V178,1.575,0.559,0.515
V179,4.939,-1.944,0.015
V180,4.628,-1.705,0.019
V181,1.553,-1.713,0.023
V182,4.448,-1.086,0.137
V183,2.377,-1.324,0.027
V184,1.931,-1.15,0.025
V185,0.373,1.542,0.256
V186,1.905,-1.064,0.022
V187,8.161,-0.69,0.219
V188,4.942,-1.944,0.015
V189,4.943,-1.943,0.015
V190,6.057,-0.237,0.361
V191,-0.259,-32.768,0.124
V192,-0.47,-6.271,0.013
V193,2.921,-1.667,0.025
V194,2.79,-1.166,0.038
V195,-0.175,-8.732,0.16
V196,3.915,-2.001,0.017
V197,8.162,0.017,0.233
V198,4.549,-1.608,0.021
V199,12.83,-0.319,0.316
V200,2.12,-1.263,0.055
V201,3.771,-1.859,0.02
V202,3.568,-2.152,0.019
V203,3.917,-2.0,0.017
V204,1.94,-0.638,0.044
V205,3.068,-1.566,0.031
V206,4.946,-1.943,0.015
V207,5.605,-1.589,0.011
