,acc_score,f1_score
GaussianNB,0.8580246913580247,0.9204152249134949
KNeighborsClassifier(8),0.6419753086419753,0.7642276422764227
DecisionTreeClassifier(),0.8518518518518519,0.9154929577464789
RandomForestClassifier,0.8950617283950617,0.9435215946843853
SVM,0.6111111111111112,0.7319148936170212
MLPClassifier,0.8209876543209876,0.8960573476702509
