,Discriminacao,Dificuldade,Adivinhacao
V1,3.033,-1.742,0.017
V2,3.07,-1.453,0.024
V3,1.826,-1.415,0.076
V4,-1.44,-1.396,0.0
V5,12.317,-1.397,0.013
V6,7.22,-1.427,0.392
V7,10.409,-1.448,0.01
V8,5.716,-1.84,0.061
V9,2.237,-1.111,0.051
V10,0.184,4.967,0.145
V11,-0.01,202.148,0.082
V12,11.82,-1.192,0.021
V13,-1.26,-1.706,0.0
V14,7.593,-0.631,0.325
V15,8.013,-1.416,0.399
V16,3.293,-1.612,0.232
V17,-1.182,-1.86,0.0
V18,-0.34,-2.756,0.283
V19,2.287,-1.707,0.024
V20,5.216,-1.306,0.017
V21,-0.591,-1.815,0.001
V22,-1.49,-0.466,0.0
V23,-0.456,-1.298,0.002
V24,-1.5,-0.764,0.0
V25,3.272,-1.226,0.079
V26,8.346,-1.761,0.002
V27,-1.453,-1.293,0.0
V28,0.388,-3.531,0.141
V29,10.088,-1.524,0.014
V30,-0.797,-3.602,0.004
V31,-0.991,-2.645,0.0
V32,-1.45,-1.336,0.0
V33,3.806,-1.152,0.034
V34,-0.208,-0.634,0.093
V35,8.346,-1.761,0.002
V36,4.473,-1.491,0.011
V37,2.543,-1.732,0.018
V38,-0.918,-1.646,0.0
V39,9.914,2.066,0.355
V40,9.43,-1.537,0.012
V41,7.762,-1.644,0.002
V42,3.673,-0.945,0.004
V43,3.215,-1.606,0.016
V44,9.377,-0.94,0.043
V45,14.297,-1.35,0.008
V46,-0.311,-3.892,0.299
V47,-0.599,-0.969,0.001
V48,0.309,0.868,0.217
V49,10.112,-1.603,0.014
V50,7.374,-1.111,0.015
V51,-1.291,-1.301,0.0
V52,4.629,-1.427,0.016
V53,0.772,-1.141,0.062
V54,2.113,-0.467,0.268
V55,4.37,-1.725,0.016
V56,-1.084,-1.834,0.0
V57,-1.087,-2.003,0.0
V58,-1.311,-1.611,0.0
V59,6.123,-1.616,0.017
V60,9.429,-1.537,0.012
V61,-0.64,-1.381,0.0
V62,8.347,-1.761,0.002
V63,-0.567,-2.129,0.001
V64,0.112,-11.697,0.097
V65,5.501,-1.654,0.168
V66,-1.27,-1.332,0.0
V67,3.135,-1.172,0.03
V68,-1.309,-1.907,0.0
V69,-1.435,-1.513,0.0
V70,10.396,1.306,0.271
V71,-0.891,-2.984,0.0
V72,11.645,-0.788,0.001
V73,3.345,-1.554,0.013
V74,1.057,-1.594,0.042
V75,0.22,11.602,0.348
V76,1.289,-0.351,0.154
V77,-0.558,-2.173,0.384
V78,5.72,-1.84,0.062
V79,1.876,-1.391,0.031
V80,1.774,-0.988,0.045
V81,-1.254,-1.328,0.0
V82,9.583,-1.617,0.014
V83,8.276,-0.635,0.132
V84,2.461,-1.58,0.022
V85,9.11,-1.545,0.013
V86,-0.521,-1.825,0.002
V87,8.071,-1.222,0.018
V88,-1.183,-1.857,0.0
V89,7.871,0.8,0.462
V90,9.312,-1.492,0.011
V91,-0.697,-1.238,0.0
V92,7.244,-1.427,0.393
V93,8.501,-0.731,0.248
V94,1.871,-1.884,0.029
V95,8.998,-0.898,0.047
V96,1.18,-2.217,0.043
V97,1.794,-0.367,0.151
V98,9.675,-1.532,0.013
V99,5.046,-1.359,0.015
V100,1.578,-1.247,0.032
V101,7.737,-1.646,0.002
V102,-0.533,-0.612,0.0
V103,8.482,-0.649,0.25
V104,6.089,-0.377,0.192
V105,7.767,-1.643,0.002
V106,3.333,-0.694,0.009
V107,1.432,-0.479,0.013
V108,4.457,-1.486,0.012
V109,5.03,-1.433,0.017
V110,0.39,0.72,0.232
V111,15.605,-0.762,0.137
V112,0.621,-2.109,0.133
V113,3.146,-1.251,0.022
V114,14.265,-1.12,0.173
V115,10.408,-1.448,0.01
V116,-1.038,-1.527,0.0
V117,4.518,-1.549,0.014
V118,2.287,-1.707,0.024
V119,8.982,-1.484,0.012
V120,7.715,-0.688,0.439
V121,8.7,-0.834,0.179
V122,6.381,-0.936,0.015
V123,13.8,-0.852,0.001
V124,10.37,-1.474,0.012
V125,-0.729,-1.199,0.037
V126,8.251,1.036,0.566
V127,5.76,0.282,0.615
V128,-0.331,-5.433,0.034
V129,-3.912,-0.822,0.0
V130,9.427,1.273,0.415
V131,-2.386,-0.89,0.0
V132,-1.239,-1.033,0.268
V133,7.747,-0.386,0.632
V134,12.806,0.832,0.462
V135,5.005,0.181,0.691
V136,-2.199,-1.568,0.0
V137,2.375,0.84,0.629
V138,-1.326,-1.065,0.002
V139,-1.883,-1.539,0.0
V140,9.516,-0.439,0.6
V141,4.228,-0.458,0.642
V142,6.238,-0.344,0.655
V143,-3.319,-2.084,0.001
V144,15.653,0.997,0.318
V145,14.059,1.191,0.412
V146,-5.714,-1.141,0.0
V147,1.96,-1.119,0.397
V148,18.513,-0.413,0.403
V149,4.246,-0.456,0.643
V150,9.323,-0.552,0.525
V151,0.965,-0.387,0.347
V152,-0.364,1.467,0.015
V153,21.692,-0.425,0.381
V154,-0.469,0.297,0.005
V155,-0.886,-1.527,0.0
V156,-3.584,-0.525,0.0
V157,1.537,-2.102,0.099
V158,-1.224,-0.517,0.0
V159,-3.501,-1.08,0.0
V160,-3.013,-1.758,0.0
V161,5.367,-0.312,0.678
V162,7.56,-0.371,0.644
V163,6.858,1.309,0.194
V164,19.755,0.004,0.279
V165,-0.576,0.142,0.009
V166,2.033,0.405,0.686
V167,-2.975,-0.936,0.0
V168,5.666,-0.38,0.703
V169,7.711,1.275,0.478
V170,14.409,1.03,0.451
V171,-2.616,-0.845,0.0
V172,-6.26,-1.127,0.232
V173,16.192,0.669,0.455
V174,-1.361,-2.196,0.0
V175,-2.747,-0.982,0.0
