,Discriminacao,Dificuldade,Adivinhacao
V1,4.912,-2.061,0.015
V2,-3.335,-2.149,0.001
V3,-0.5,-2.942,0.001
V4,-2.142,-2.107,0.0
V5,8.058,-0.581,0.429
V6,-2.281,-2.276,0.001
V7,3.116,-1.521,0.214
V8,-0.79,-1.385,0.001
V9,6.338,-1.898,0.013
V10,5.149,1.243,0.454
V11,-1.754,-0.937,0.0
V12,-0.742,-0.946,0.001
V13,1.975,-2.015,0.33
V14,-1.97,-1.953,0.0
V15,1.579,-1.52,0.052
V16,-2.544,-1.863,0.027
V17,8.557,0.098,0.447
V18,-2.827,-1.825,0.0
V19,2.224,-0.651,0.648
V20,-0.414,-0.938,0.055
V21,1.174,-1.467,0.085
V22,5.346,-1.825,0.017
V23,10.059,0.152,0.296
V24,1.109,-0.93,0.039
V25,-0.09,6.198,0.079
V26,1.688,-2.648,0.138
V27,2.407,-0.392,0.712
V28,4.691,-1.917,0.018
V29,3.884,-2.018,0.018
V30,-1.617,-1.106,0.0
V31,5.097,-1.848,0.014
V32,-2.137,-1.755,0.0
V33,8.343,0.059,0.473
V34,3.523,2.233,0.261
V35,-0.585,0.215,0.001
V36,9.075,-0.182,0.458
V37,1.125,-2.8,0.151
V38,3.126,-1.928,0.027
V39,-0.709,-1.662,0.001
V40,12.403,-0.82,0.508
V41,5.097,-1.848,0.014
V42,3.908,-1.874,0.02
V43,-0.404,-0.146,0.012
V44,1.253,-2.906,0.119
V45,3.693,-1.788,0.034
V46,-2.43,-2.299,0.0
V47,1.98,-1.72,0.041
V48,0.947,-2.209,0.025
V49,-2.839,-1.74,0.0
V50,1.026,-1.839,0.039
V51,5.388,-1.959,0.014
V52,1.534,-1.068,0.525
V53,-2.957,-1.907,0.0
V54,4.392,-1.911,0.016
V55,-0.335,1.716,0.002
V56,2.38,-1.769,0.113
V57,8.202,0.181,0.518
V58,11.151,-1.323,0.314
V59,1.047,-2.073,0.027
V60,5.55,-1.957,0.014
V61,1.607,-1.92,0.024
V62,8.523,-0.63,0.53
V63,1.689,-2.646,0.14
V64,-0.644,0.076,0.04
V65,1.472,-3.034,0.096
V66,0.713,-3.345,0.139
V67,5.384,-1.827,0.017
V68,2.474,-1.672,0.1
V69,4.779,0.189,0.578
V70,4.931,-0.321,0.413
V71,-2.061,-1.486,0.0
V72,3.663,-2.113,0.019
V73,1.396,-2.004,0.025
V74,-0.237,0.678,0.031
V75,-0.456,-1.439,0.112
V76,5.346,-1.825,0.017
V77,-2.479,-1.445,0.0
V78,1.616,-3.073,0.083
V79,1.188,-2.944,0.106
V80,5.687,-1.96,0.015
V81,6.895,-1.681,0.013
V82,-0.602,0.69,0.001
V83,-0.602,-1.299,0.001
V84,2.773,-2.059,0.03
V85,3.965,-1.858,0.024
V86,1.616,-3.073,0.084
V87,9.38,0.118,0.476
V88,5.346,-1.826,0.017
V89,2.41,-1.78,0.025
V90,0.945,-2.748,0.17
V91,0.734,-3.776,0.099
V92,-0.416,-0.347,0.008
V93,8.15,-1.463,0.052
V94,2.409,-1.488,0.011
V95,3.275,-1.174,0.003
V96,5.471,0.59,0.552
V97,10.087,-1.555,0.004
V98,9.903,-1.578,0.004
V99,1.989,-2.837,0.088
V100,-0.338,0.561,0.02
V101,-0.854,-1.699,0.001
V102,-0.504,-1.527,0.052
V103,2.022,-2.83,0.086
V104,7.894,-1.932,0.012
V105,3.2,-1.67,0.026
V106,10.179,-0.046,0.348
V107,-1.274,-1.429,0.002
V108,2.341,-2.896,0.066
V109,7.046,-2.015,0.013
V110,3.456,-2.201,0.021
V111,8.9,-1.6,0.004
V112,16.426,-0.34,0.483
V113,7.726,-0.007,0.467
V114,13.011,-0.065,0.455
V115,5.157,-1.84,0.014
V116,6.889,-1.408,0.065
V117,10.574,0.01,0.365
V118,4.973,-2.315,0.004
V119,-0.435,-4.914,0.002
V120,-0.865,-2.99,0.001
V121,3.981,-1.64,0.01
V122,3.807,-1.509,0.012
V123,1.725,-2.852,0.07
V124,4.937,-0.468,0.727
V125,6.657,-1.84,0.012
V126,9.997,-0.032,0.402
V127,0.594,-3.742,0.035
V128,6.88,-1.859,0.001
V129,7.657,-1.766,0.008
V130,7.342,-1.995,0.012
V131,7.539,-1.774,0.01
V132,-1.198,-1.355,0.001
V133,5.676,-1.567,0.004
V134,6.883,-1.859,0.001
V135,9.782,-1.479,0.004
V136,-0.823,0.313,0.001
V137,-0.987,-0.166,0.001
V138,2.229,-2.532,0.144
V139,3.114,-1.353,0.004
V140,6.972,-1.393,0.055
V141,0.568,-1.268,0.034
V142,2.054,-2.054,0.024
V143,-0.055,-93.797,0.696
V144,7.122,-1.631,0.022
V145,4.573,0.822,0.355
V146,-0.902,-3.78,0.001
V147,0.728,-2.709,0.047
V148,8.319,1.681,0.197
V149,2.108,-2.37,0.206
V150,8.553,-0.452,0.691
V151,-1.402,-1.162,0.0
V152,-1.079,-1.778,0.001
V153,15.277,-0.351,0.521
V154,8.334,0.195,0.615
V155,6.215,-1.884,0.002
V156,-0.712,-0.98,0.001
V157,-0.69,-2.542,0.001
V158,4.404,-2.165,0.016
V159,2.023,-2.829,0.086
V160,-2.36,-1.866,0.011
V161,2.925,2.182,0.383
V162,-2.001,-1.588,0.0
V163,6.802,-1.677,0.013
V164,-0.756,-3.611,0.001
V165,1.501,0.003,0.017
V166,1.905,-1.529,0.009
V167,-0.933,1.04,0.002
V168,-0.26,-0.63,0.396
V169,12.983,-0.071,0.423
V170,5.993,-1.81,0.001
V171,6.603,-0.304,0.65
V172,1.645,-2.728,0.075
V173,4.434,-1.735,0.032
V174,6.79,0.153,0.612
V175,1.269,-2.255,0.229
V176,2.744,-2.81,0.07
V177,1.896,-1.551,0.011
V178,12.676,-0.073,0.423
V179,-1.444,-1.411,0.0
V180,5.11,-2.064,0.015
V181,2.516,-2.686,0.058
V182,3.092,-1.926,0.027
V183,4.707,-1.644,0.004
V184,4.707,-1.644,0.004
V185,11.275,-0.155,0.443
V186,-1.079,-0.609,0.002
V187,5.582,-2.009,0.002
V188,10.46,0.085,0.458
V189,-2.447,-1.698,0.0
V190,11.495,0.057,0.379
V191,3.926,-1.685,0.016
V192,7.55,-1.66,0.001
V193,1.191,-2.549,0.145
V194,6.045,-1.47,0.028
V195,-0.486,-1.352,0.003
V196,5.157,-1.643,0.009
V197,10.087,-1.555,0.004
V198,4.635,0.383,0.396
V199,7.537,-2.005,0.013
V200,1.365,-0.791,0.01
V201,2.789,-1.475,0.005
V202,4.909,-1.754,0.018
V203,2.992,-1.853,0.046
V204,5.459,-1.821,0.014
V205,4.431,-1.774,0.013
