,Discriminacao,Dificuldade,Adivinhacao
V1,2.314,-1.922,0.044
V2,1.57,-2.058,0.051
V3,4.75,-0.094,0.547
V4,5.866,0.287,0.34
V5,4.434,-2.032,0.033
V6,1.757,-1.269,0.205
V7,2.985,-1.978,0.031
V8,1.028,-1.943,0.052
V9,-0.795,-2.349,0.009
V10,1.799,-1.731,0.053
V11,0.843,-2.254,0.155
V12,0.674,-2.766,0.071
V13,3.285,0.534,0.527
V14,3.455,-1.98,0.041
V15,-1.785,-1.226,0.006
V16,-0.656,-0.448,0.013
V17,-0.926,-1.956,0.012
V18,6.423,-0.298,0.547
V19,8.819,-0.343,0.507
V20,-2.131,-1.77,0.007
V21,2.733,1.254,0.442
V22,-3.163,-2.141,0.006
V23,0.694,-1.473,0.166
V24,-2.559,-2.017,0.005
V25,7.938,0.014,0.434
V26,2.337,-1.839,0.048
V27,1.174,-2.066,0.049
V28,9.503,-0.315,0.469
V29,1.171,-2.068,0.064
V30,-0.418,-2.28,0.035
V31,1.799,-1.289,0.139
V32,2.73,-2.126,0.034
V33,2.121,-1.711,0.057
V34,-0.535,-1.411,0.036
V35,-0.656,-0.905,0.015
V36,2.886,-2.028,0.045
V37,2.713,1.403,0.446
V38,-2.772,-1.803,0.005
V39,1.225,-1.074,0.248
V40,1.277,-1.565,0.146
V41,-0.879,-1.632,0.018
V42,3.963,-0.355,0.588
V43,-1.854,-1.881,0.007
V44,2.986,-1.978,0.031
V45,1.27,-1.676,0.06
V46,-3.068,-1.937,0.005
V47,1.849,-1.633,0.052
V48,1.34,-2.014,0.077
V49,0.939,-1.577,0.071
V50,2.934,-2.257,0.044
V51,4.421,-1.533,0.068
V52,2.357,-1.825,0.049
V53,1.608,-0.087,0.195
V54,2.504,-0.56,0.471
V55,3.478,-0.53,0.537
V56,0.617,-1.254,0.098
V57,0.534,-2.541,0.08
V58,-2.31,-1.938,0.006
V59,1.871,-1.61,0.063
V60,3.641,-1.85,0.037
V61,-2.042,-1.952,0.006
V62,4.449,1.585,0.407
V63,-2.072,-1.501,0.008
V64,1.079,-1.603,0.073
V65,-1.18,-2.15,0.013
V66,-1.895,-1.786,0.007
V67,3.972,-1.835,0.039
V68,2.958,-1.743,0.046
V69,1.637,-1.41,0.062
V70,2.843,-1.934,0.052
V71,1.068,-1.474,0.069
V72,-2.416,-1.922,0.005
V73,1.367,-2.136,0.049
V74,4.833,-1.91,0.033
V75,-1.281,-1.101,0.009
V76,1.896,-1.857,0.042
V77,-1.975,-1.862,0.007
V78,0.424,-0.159,0.184
V79,1.694,-2.148,0.048
V80,4.415,-0.185,0.586
V81,0.8,-1.87,0.067
V82,2.209,-0.905,0.456
V83,0.827,-1.944,0.057
V84,0.846,-1.592,0.054
V85,1.293,-2.153,0.054
V86,-0.933,-2.606,0.007
V87,0.566,-2.432,0.079
V88,2.707,-2.047,0.043
V89,3.736,1.571,0.376
V90,0.441,-2.25,0.088
V91,1.894,-1.859,0.041
V92,3.507,-1.771,0.04
V93,2.433,-0.032,0.339
V94,3.708,-1.764,0.044
V95,-0.856,-1.743,0.008
V96,2.861,-2.207,0.034
V97,1.82,-1.806,0.048
V98,-0.732,-1.781,0.014
V99,5.03,-1.791,0.032
V100,-1.51,-1.383,0.007
V101,-0.948,-1.374,0.018
V102,3.752,-1.723,0.023
V103,3.405,-1.924,0.028
V104,-0.848,-0.898,0.009
V105,3.754,0.63,0.329
V106,3.043,-1.823,0.041
V107,4.475,-1.519,0.027
V108,-1.674,-1.627,0.006
V109,3.753,-1.671,0.05
V110,4.096,0.392,0.318
V111,5.767,0.567,0.39
V112,-0.616,0.44,0.02
V113,4.618,-1.716,0.035
V114,4.715,0.221,0.469
V115,3.801,-1.927,0.041
V116,0.775,-1.954,0.089
V117,-0.47,-2.336,0.024
V118,4.042,-2.036,0.035
V119,-1.496,-1.493,0.007
V120,5.615,1.648,0.198
V121,3.406,-1.924,0.028
V122,-1.156,-2.197,0.007
V123,4.409,-1.911,0.035
V124,3.909,-1.842,0.038
V125,5.416,0.66,0.354
V126,0.733,-2.272,0.065
V127,2.389,1.851,0.445
V128,3.097,-2.06,0.031
V129,8.985,0.256,0.388
V130,1.49,-0.981,0.368
V131,4.592,-1.711,0.036
V132,1.008,-1.26,0.054
V133,3.823,-1.798,0.023
V134,1.606,-1.961,0.077
V135,3.613,-1.64,0.125
V136,5.054,0.212,0.431
V137,-0.755,-0.73,0.01
V138,5.458,-1.605,0.027
V139,3.408,-1.924,0.028
V140,-0.709,-1.633,0.017
V141,1.237,-1.484,0.042
V142,3.836,-1.838,0.038
V143,4.765,-1.91,0.034
V144,6.2,-1.522,0.023
V145,2.985,-1.303,0.061
V146,3.229,-1.887,0.046
V147,4.684,1.579,0.307
V148,1.512,-2.767,0.083
V149,2.05,-1.813,0.044
V150,3.835,-1.667,0.05
V151,6.279,-2.107,0.032
V152,3.571,-1.7,0.036
V153,9.134,0.23,0.385
V154,8.03,0.187,0.376
V155,0.834,-1.112,0.245
V156,1.387,-1.556,0.075
V157,-0.83,-1.754,0.01
V158,-0.551,-1.222,0.02
V159,3.863,-1.757,0.031
V160,2.865,-2.207,0.034
V161,3.653,-1.767,0.043
V162,5.0,-1.792,0.032
V163,-0.654,0.171,0.027
V164,9.806,-0.322,0.509
V165,3.818,-1.849,0.04
V166,1.845,-0.875,0.143
V167,4.21,-2.074,0.074
V168,0.809,-0.599,0.101
V169,3.374,-1.972,0.043
V170,2.492,-1.618,0.057
V171,-0.697,-2.089,0.012
V172,-1.111,-1.517,0.009
V173,0.783,-3.207,0.093
V174,4.536,-1.633,0.039
V175,3.348,-1.704,0.038
V176,9.161,0.079,0.431
V177,1.647,-1.617,0.052
V178,6.766,-1.661,0.023
V179,5.263,0.699,0.335
V180,4.676,-1.713,0.035
V181,2.866,-2.207,0.034
V182,4.14,-2.033,0.034
V183,3.628,-1.636,0.127
V184,-1.047,-0.626,0.01
V185,7.651,0.248,0.352
V186,-1.508,-2.129,0.008
V187,2.57,-1.974,0.036
V188,3.316,-1.983,0.04
V189,4.548,-1.637,0.04
V190,2.924,-1.722,0.041
V191,3.1,-2.06,0.031
V192,1.524,-1.243,0.058
V193,6.669,-1.583,0.023
V194,7.829,-0.455,0.455
V195,-0.864,-3.211,0.007
V196,-0.659,-2.247,0.035
V197,-1.466,-1.928,0.006
V198,-0.762,-0.947,0.014
V199,5.6,0.426,0.436
V200,4.215,0.815,0.318
V201,-0.774,-2.932,0.008
V202,3.411,-1.924,0.028
V203,4.319,-1.91,0.035
V204,0.801,-3.018,0.103
V205,3.819,-2.051,0.037
V206,6.423,0.343,0.419
V207,-0.355,-0.895,0.033
