,acc_score,f1_score
GaussianNB,0.7922705314009661,0.8244897959183674
KNeighborsClassifier(8),0.6376811594202898,0.6376811594202899
DecisionTreeClassifier(),0.8260869565217391,0.8378378378378378
RandomForestClassifier,0.8888888888888888,0.8986784140969162
SVM,0.6570048309178744,0.7473309608540925
MLPClassifier,0.8164251207729468,0.8389830508474576
