,Discriminacao,Dificuldade,Adivinhacao
V197,4.787,-0.005,0.218
V198,5.624,-1.792,0.002
V199,20.403,-0.371,0.326
V200,1.75,-1.174,0.017
V201,3.622,-1.865,0.008
V202,4.03,-2.12,0.002
V203,4.525,-1.958,0.002
V204,1.596,-0.612,0.017
V205,0.73,-2.201,0.012
V206,7.257,-1.909,0.002
V207,2.01,-1.621,0.004
