Metodo,Acuracia
GaussianNB,0.8024691358024691
BernoulliNB,0.9135802469135802
KNeighborsClassifier(2),0.7345679012345679
KNeighborsClassifier(3),0.7530864197530864
KNeighborsClassifier(5),0.7345679012345679
KNeighborsClassifier(8),0.6851851851851852
DecisionTreeClassifier(),0.8271604938271605
RandomForestClassifier(3_estimators),0.8333333333333334
RandomForestClassifier(5_estimators),0.8518518518518519
RandomForestClassifier,0.8703703703703703
SVM,0.6666666666666666
MLPClassifier,0.7654320987654321
rand1,0.42592592592592593
rand2,0.48148148148148145
rand3,0.4506172839506173
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
