,Discriminacao,Dificuldade,Adivinhacao
V1,1.298,2.272,0.013
V2,2.061,2.355,0.027
V3,2.36,1.659,0.013
V4,1.999,2.656,0.027
V5,0.523,-1.247,0.0
V6,2.097,2.173,0.111
V7,49.829,2.751,0.009
V8,1.118,1.51,0.0
V9,2.701,2.229,0.009
V10,49.828,2.751,0.009
V11,0.592,0.067,0.0
V12,1.987,1.737,0.01
V13,1.64,1.334,0.014
V14,-0.057,16.42,0.546
V15,-81.218,1.061,0.0
V16,-38.157,2.031,0.0
V17,-2.124,1.844,0.0
V18,-1.484,2.387,0.0
V19,-92.563,-1.368,0.171
V20,-2.105,1.246,0.0
V21,-39.175,1.689,0.125
V22,-2.253,1.309,0.0
V23,-58.329,2.394,0.0
V24,-38.191,2.031,0.0
V25,-194.087,-1.568,0.089
V26,-171.263,-1.682,0.062
V27,-2.244,1.615,0.0
V28,-1.608,1.924,0.0
V29,-41.827,2.066,0.0
V30,-38.225,2.031,0.0
V31,-41.839,2.066,0.0
V32,-41.845,2.066,0.0
V33,-38.276,2.031,0.0
V34,-63.095,1.678,0.0
V35,-43.605,1.063,0.111
V36,-41.865,2.066,0.0
V37,-2.228,1.457,0.0
V38,-1.118,2.157,0.0
V39,-138.978,0.01,0.314
V40,-2.73,2.218,0.0
V41,-109.556,0.01,0.252
V42,-162.769,0.006,0.127
V43,-88.073,0.617,0.375
V44,-1.86,1.772,0.0
V45,-2.247,1.614,0.0
V46,-38.329,2.031,0.0
V47,-2.031,1.693,0.0
V48,-13.13,1.927,0.2
V49,-13.497,1.998,0.0
V50,-1.865,1.77,0.0
V51,-2.094,2.07,0.0
V52,-1.826,1.176,0.0
V53,-2.73,2.218,0.0
V54,-150.063,0.014,0.127
V55,-1.203,2.326,0.0
V56,-83.106,-0.677,0.184
V57,-63.156,1.679,0.0
V58,-13.497,1.998,0.0
V59,-15.741,1.947,0.2
V60,-197.923,-1.227,0.118
V61,-1.528,2.156,0.0
V62,-2.122,1.845,0.0
V63,-2.887,2.503,0.0
V64,-1.92,2.371,0.0
V65,-1.582,2.54,0.0
V66,-38.364,2.031,0.0
V67,-1.321,1.77,0.0
V68,-1.878,2.148,0.0
V69,-1.293,3.055,0.0
V70,-223.329,-0.377,0.079
V71,-181.731,0.008,0.252
V72,-163.38,-0.691,0.053
V73,-2.885,2.503,0.0
V74,-176.236,-1.635,0.062
V75,-172.387,-0.312,0.0
V76,-136.529,0.008,0.252
V77,-2.116,1.847,0.0
V78,-13.497,1.998,0.0
V79,-13.497,1.998,0.0
V80,-30.834,0.058,0.062
V81,-2.717,2.22,0.0
V82,-1.275,2.404,0.0
V83,-2.949,1.932,0.0
V84,-2.885,2.503,0.0
V85,-15.777,1.947,0.2
V86,-0.566,2.354,0.0
V87,-43.656,1.064,0.111
V88,-81.713,1.057,0.0
V89,-139.077,0.013,0.314
V90,-2.39,1.769,0.0
V91,-2.253,1.309,0.0
V92,-1.1,1.826,0.0
V93,-81.741,1.057,0.0
V94,-52.46,1.059,0.111
V95,-110.657,-1.365,0.061
V96,-38.491,2.031,0.0
V97,-41.953,2.066,0.0
V98,-2.254,1.308,0.0
V99,-41.962,2.066,0.0
V100,-2.884,2.503,0.0
V101,-1.888,1.466,0.0
V102,-50.31,0.673,0.0
V103,-2.947,1.932,0.0
V104,-2.264,1.305,0.0
V105,-1.946,1.318,0.0
V106,-41.981,2.066,0.0
V107,-162.308,0.002,0.125
V108,-109.055,0.679,0.111
V109,-41.99,2.066,0.0
V110,-39.174,1.689,0.125
V111,-1.723,1.848,0.0
V112,-42.0,2.066,0.0
V113,-39.171,1.689,0.125
V114,-175.304,0.006,0.125
V115,-42.01,2.066,0.0
V116,-1.484,2.387,0.0
V117,-38.64,2.031,0.0
V118,-1.878,2.148,0.0
V119,-42.715,-0.674,0.553
V120,-63.506,1.681,0.0
V121,-1.506,1.852,0.0
V122,-2.359,1.152,0.0
V123,-150.459,0.007,0.125
V124,-37.724,2.751,0.0
V125,-2.883,2.504,0.0
V126,-2.487,1.375,0.0
V127,-114.202,0.679,0.111
V128,-166.705,0.012,0.19
V129,-42.062,2.066,0.0
V130,-3.904,1.331,0.0
V131,-38.736,2.031,0.0
V132,-118.057,-1.357,0.282
V133,-1.484,2.387,0.0
V134,-166.139,-1.654,0.062
V135,-42.084,2.066,0.0
V136,-42.095,2.066,0.0
V137,-97.236,0.009,0.377
V138,-162.795,-1.606,0.044
V139,-37.347,2.751,0.0
V140,-3.59,1.627,0.0
V141,-42.13,2.066,0.0
V142,-57.405,2.412,0.0
V143,-13.162,1.927,0.2
V144,-63.736,1.683,0.0
V145,-23.07,0.602,0.0
V146,-1.881,1.47,0.0
V147,-38.892,2.031,0.0
V148,-2.73,2.218,0.0
V149,-58.169,-1.357,0.467
V150,-2.54,1.532,0.0
V151,-1.863,1.771,0.0
V152,-2.206,1.466,0.0
V153,-1.638,2.076,0.0
V154,-39.169,1.689,0.125
V155,-5.257,-0.208,0.136
V156,-38.911,2.031,0.0
V157,-13.497,1.998,0.0
V158,-42.191,2.066,0.0
V159,-1.933,1.917,0.0
V160,-2.253,1.309,0.0
V161,-42.204,2.066,0.0
V162,-1.75,1.543,0.0
