,Discriminacao,Dificuldade,Adivinhacao
V1,10.621,-0.94,0.019
V2,-5.383,-0.953,0.0
V3,8.127,-0.593,0.129
V4,-3.056,-0.947,0.001
V5,9.198,-0.819,0.019
V6,-2.875,-1.049,0.0
V7,6.21,-0.951,0.042
V8,7.568,-0.657,0.123
V9,9.02,-0.856,0.018
V10,-3.256,-0.677,0.001
V11,-2.017,-0.344,0.001
V12,9.11,-0.761,0.017
V13,2.093,-1.18,0.188
V14,-2.754,-0.962,0.0
V15,7.45,-0.693,0.114
V16,-4.911,-0.914,0.0
V17,-3.164,-0.816,0.001
V18,-4.354,-0.842,0.001
V19,1.754,-1.357,0.142
V20,-3.106,-0.676,0.001
V21,6.917,-0.813,0.079
V22,8.99,-0.79,0.018
V23,-2.251,-0.723,0.001
V24,8.691,-0.562,0.14
V25,10.018,-0.842,0.019
V26,1.963,-1.378,0.139
V27,-2.473,-0.206,0.0
V28,9.841,-0.844,0.019
V29,10.147,-0.883,0.019
V30,-2.932,-0.491,0.001
V31,9.207,-0.854,0.018
V32,-4.366,-0.84,0.001
V33,-3.785,-0.347,0.001
V34,-1.669,-0.547,0.0
V35,9.597,-0.813,0.018
V36,-2.32,-0.508,0.0
V37,1.754,-1.355,0.144
V38,9.133,-0.761,0.017
V39,8.327,-0.593,0.138
V40,6.742,-0.823,0.073
V41,9.206,-0.854,0.018
V42,9.136,-0.82,0.018
V43,8.826,-0.764,0.018
V44,1.957,-1.38,0.147
V45,10.025,-0.885,0.019
V46,-4.921,-0.915,0.0
V47,6.532,-0.941,0.047
V48,9.484,-0.894,0.018
V49,-4.357,-0.841,0.001
V50,10.62,-0.94,0.019
V51,9.483,-0.894,0.018
V52,1.628,-0.662,0.344
V53,-5.364,-0.954,0.0
V54,9.205,-0.854,0.018
V55,9.019,-0.856,0.018
V56,6.258,-0.613,0.307
V57,-2.847,-0.543,0.001
V58,8.729,-0.738,0.017
V59,10.146,-0.883,0.019
V60,10.619,-0.94,0.019
V61,10.618,-0.94,0.019
V62,5.333,-0.697,0.24
V63,1.895,-1.553,0.101
V64,-2.549,-0.311,0.0
V65,1.888,-1.675,0.088
V66,1.644,-1.684,0.101
V67,9.656,-0.846,0.018
V68,6.741,-0.872,0.061
V69,9.703,0.44,0.447
V70,8.944,-0.712,0.016
V71,-2.325,-0.52,0.001
V72,6.995,-0.923,0.052
V73,10.339,-0.882,0.019
V74,-3.213,-0.684,0.001
V75,-3.921,-0.709,0.001
V76,8.782,-0.823,0.018
V77,-3.345,-0.626,0.001
V78,1.882,-1.812,0.075
V79,1.909,-1.534,0.109
V80,10.024,-0.885,0.019
V81,8.781,-0.823,0.018
V82,9.655,-0.846,0.018
V83,8.747,-0.638,0.015
V84,4.177,-0.921,0.101
V85,10.023,-0.885,0.019
V86,1.882,-1.812,0.076
V87,-3.538,-0.53,0.001
V88,8.781,-0.823,0.018
V89,8.596,-0.71,0.014
V90,1.564,-1.473,0.138
V91,1.638,-1.587,0.094
V92,8.709,-0.713,0.017
V93,8.269,-0.829,0.017
V94,8.824,-0.687,0.016
V95,4.564,-0.578,0.016
V96,-3.752,-0.488,0.001
V97,3.145,-0.811,0.024
V98,9.024,-0.787,0.015
V99,1.878,-1.817,0.08
V100,2.205,-0.586,0.055
V101,2.395,-0.702,0.037
V102,-3.889,-0.664,0.001
V103,1.907,-1.786,0.067
V104,9.012,-0.855,0.017
V105,3.146,-0.759,0.023
V106,-3.749,-0.757,0.001
V107,-4.184,-0.705,0.0
V108,1.871,-2.045,0.057
V109,3.663,-1.045,0.114
V110,3.484,-1.185,0.06
V111,8.214,-0.768,0.018
V112,-3.944,-0.665,0.001
V113,-4.537,-0.496,0.001
V114,-4.03,-0.571,0.001
V115,9.376,-0.816,0.018
V116,8.406,-0.683,0.016
V117,-3.798,-0.756,0.001
V118,7.809,-1.044,0.151
V119,-0.768,-13.962,0.085
V120,-6.471,-3.777,0.11
V121,8.747,-0.638,0.014
V122,8.14,-0.797,0.017
V123,2.83,-1.327,0.068
V124,11.28,0.345,0.517
V125,8.974,-0.859,0.016
V126,-4.04,-0.665,0.001
V127,4.587,-0.807,0.163
V128,8.974,-0.859,0.016
V129,8.597,-0.825,0.018
V130,9.457,-0.893,0.017
V131,9.275,-0.787,0.018
V132,-3.498,-0.579,0.001
V133,8.701,-0.712,0.017
V134,8.974,-0.859,0.016
V135,8.285,-0.738,0.018
V136,5.9,-0.211,0.685
V137,10.28,-0.239,0.571
V138,1.893,-1.666,0.081
V139,8.662,-0.739,0.017
V140,4.289,-0.835,0.02
V141,8.81,-0.663,0.015
V142,6.736,-0.821,0.073
V143,8.719,-0.738,0.017
V144,8.315,-0.767,0.018
V145,-3.727,-0.711,0.001
V146,-1.67,-1.625,0.001
V147,4.256,-0.997,0.077
V148,-4.05,-0.842,0.001
V149,1.968,-1.377,0.132
V150,11.529,0.481,0.47
V151,-3.004,-0.794,0.001
V152,-4.235,-0.797,0.001
V153,-4.051,-0.571,0.001
V154,-3.889,-0.664,0.001
V155,8.974,-0.859,0.016
V156,4.263,-0.701,0.018
V157,-6.033,-3.508,0.11
V158,4.092,-1.013,0.065
V159,2.866,-1.343,0.054
V160,-4.176,-0.843,0.001
V161,-4.226,-0.533,0.001
V162,-3.215,-0.866,0.0
V163,8.784,-0.791,0.018
V164,-1.181,-1.808,0.001
V165,-1.693,-1.096,0.002
V166,9.274,-0.787,0.018
V167,2.148,-1.127,0.242
V168,-2.892,-0.683,0.001
V169,-3.889,-0.664,0.001
V170,8.268,-0.829,0.017
V171,-4.187,-0.667,0.001
V172,2.824,-1.325,0.069
V173,8.968,-0.737,0.017
V174,-3.756,-0.711,0.001
V175,1.708,-1.015,0.274
V176,1.826,-2.06,0.058
V177,8.631,-0.738,0.018
V178,-3.756,-0.711,0.001
V179,-3.398,-0.626,0.001
V180,6.77,-0.945,0.229
V181,3.877,-1.216,0.047
V182,4.996,-0.718,0.21
V183,8.715,-0.738,0.017
V184,7.972,-0.797,0.016
V185,-4.098,-0.708,0.001
V186,-2.923,-0.693,0.001
V187,8.223,-0.926,0.088
V188,-4.096,-0.573,0.001
V189,-4.168,-0.707,0.001
V190,-3.914,-0.757,0.001
V191,8.808,-0.764,0.018
V192,7.972,-0.797,0.016
V193,1.65,-0.954,0.271
V194,4.48,-0.876,0.02
V195,-0.953,-3.553,0.156
V196,8.268,-0.829,0.017
V197,4.232,-0.835,0.02
V198,-4.05,-0.665,0.001
V199,9.011,-0.855,0.017
V200,-1.819,-6.654,0.136
V201,3.375,-0.308,0.073
V202,4.657,-0.872,0.02
V203,6.075,-0.617,0.295
V204,4.904,-0.913,0.02
V205,4.904,-0.913,0.02
V206,8.871,-0.82,0.018
V207,2.202,-0.713,0.043
