,acc_score,f1_score
GaussianNB,0.5771428571428572,0.5375
KNeighborsClassifier(8),0.68,0.391304347826087
DecisionTreeClassifier(),0.7028571428571428,0.4583333333333333
RandomForestClassifier,0.6971428571428572,0.4752475247524752
SVM,0.6628571428571428,0.5496183206106869
MLPClassifier,0.6514285714285715,0.5413533834586466
