,acc_score,f1_score
GaussianNB,0.808641975308642,0.8864468864468864
KNeighborsClassifier(8),0.6419753086419753,0.7698412698412698
DecisionTreeClassifier(),0.845679012345679,0.9122807017543859
RandomForestClassifier,0.9074074074074074,0.9494949494949495
SVM,0.6851851851851852,0.7951807228915663
MLPClassifier,0.7160493827160493,0.8174603174603174
