Metodo,Acuracia
GaussianNB,0.6332080200501252
BernoulliNB,0.5104010025062656
KNeighborsClassifier(2),0.7359022556390976
KNeighborsClassifier(3),0.7270050125313283
KNeighborsClassifier(5),0.705670426065163
KNeighborsClassifier(8),0.6739035087719298
DecisionTreeClassifier(),0.7358709273182958
RandomForestClassifier(3_estimators),0.6882205513784461
RandomForestClassifier(5_estimators),0.7221177944862156
RandomForestClassifier,0.7734022556390977
SVM,0.6225250626566415
MLPClassifier,0.6454887218045113
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
