,acc_score,f1_score
GaussianNB,0.7971014492753623,0.8333333333333333
KNeighborsClassifier(8),0.6231884057971014,0.59375
DecisionTreeClassifier(),0.7971014492753623,0.817391304347826
RandomForestClassifier,0.8840579710144928,0.891891891891892
SVM,0.6908212560386473,0.7730496453900709
MLPClassifier,0.8164251207729468,0.8318584070796462
