Metodo,Acuracia
GaussianNB,0.8271604938271605
BernoulliNB,0.08641975308641975
KNeighborsClassifier(2),0.7222222222222222
KNeighborsClassifier(3),0.7407407407407407
KNeighborsClassifier(5),0.7160493827160493
KNeighborsClassifier(8),0.6604938271604939
DecisionTreeClassifier(),0.8641975308641975
RandomForestClassifier(3_estimators),0.8641975308641975
RandomForestClassifier(5_estimators),0.8580246913580247
RandomForestClassifier,0.8950617283950617
SVM,0.6666666666666666
MLPClassifier,0.7777777777777778
rand1,0.5370370370370371
rand2,0.5308641975308642
rand3,0.4382716049382716
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
