Metodo,Acuracia
GaussianNB,0.6683518410286382
BernoulliNB,0.5416423144360023
KNeighborsClassifier(2),0.7610461718293395
KNeighborsClassifier(3),0.7406195207481006
KNeighborsClassifier(5),0.7268556399766218
KNeighborsClassifier(8),0.7028345996493279
DecisionTreeClassifier(),0.7336645236703682
RandomForestClassifier(3_estimators),0.754354178842782
RandomForestClassifier(5_estimators),0.7713909994155465
RandomForestClassifier,0.8094681472822909
SVM,0.6546756282875511
MLPClassifier,0.6596727060198714
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
