,Discriminacao,Dificuldade,Adivinhacao
V1,8.139,0.452,0.167
V2,14.2,0.345,0.21
V3,9.767,0.508,0.403
V4,10.777,0.657,0.251
V5,6.996,-1.274,0.054
V6,5.54,-1.125,0.048
V7,-2.515,-0.94,0.11
V8,10.337,-1.059,0.014
V9,-2.217,-1.392,0.001
V10,-2.218,-1.229,0.001
V11,11.481,-0.949,0.016
V12,-1.085,-1.204,0.006
V13,10.862,0.513,0.288
V14,-1.759,-0.784,0.001
V15,8.347,-1.169,0.035
V16,7.002,-1.274,0.054
V17,11.306,0.616,0.145
V18,6.244,-0.965,0.051
V19,10.119,-0.821,0.016
V20,10.342,-1.059,0.014
V21,8.353,-1.169,0.034
V22,9.403,-1.201,0.241
V23,-1.518,-1.499,0.002
V24,11.481,-0.949,0.016
V25,9.988,-1.178,0.033
V26,6.968,-0.842,0.133
V27,8.174,-1.107,0.036
V28,5.98,-1.388,0.07
V29,10.347,-1.059,0.013
V30,11.81,0.291,0.203
V31,17.835,0.692,0.249
V32,9.538,-0.669,0.191
V33,-2.677,-1.029,0.001
V34,12.033,-0.458,0.468
V35,5.983,-1.388,0.07
V36,10.039,0.727,0.307
V37,1.943,-1.033,0.077
V38,7.725,-0.677,0.17
V39,3.474,-0.51,0.35
V40,11.138,0.619,0.118
V41,9.134,-0.688,0.189
V42,-0.991,-2.078,0.003
V43,6.455,-0.944,0.046
V44,3.14,-0.829,0.147
V45,1.793,-0.553,0.142
V46,6.791,-0.819,0.117
V47,4.844,-1.512,0.197
V48,8.277,0.734,0.316
V49,7.016,-1.274,0.054
V50,-1.156,-1.022,0.001
V51,-1.153,-1.603,0.003
V52,9.436,-0.262,0.312
V53,3.233,-1.007,0.17
V54,8.364,-1.17,0.034
V55,-0.946,-1.745,0.006
V56,7.176,0.05,0.262
V57,-1.489,-0.941,0.003
V58,1.429,6.591,0.095
V59,8.543,-1.093,0.04
V60,14.002,0.347,0.288
V61,-2.388,-1.549,0.001
V62,3.346,-0.616,0.107
V63,3.692,4.117,0.034
V64,-2.418,-0.948,0.001
V65,5.604,-1.327,0.053
V66,6.356,-0.668,0.395
V67,7.02,-1.274,0.055
V68,-1.754,-1.283,0.001
V69,4.126,-1.059,0.074
V70,16.354,0.696,0.269
V71,10.281,0.6,0.309
V72,8.132,0.13,0.406
V73,9.99,-1.178,0.034
V74,13.542,0.331,0.269
V75,-2.24,-1.08,0.001
V76,-1.858,-1.79,0.002
V77,10.194,-1.159,0.033
V78,-2.166,-1.52,0.001
V79,9.859,-0.652,0.187
V80,6.662,-0.994,0.046
V81,6.102,-0.926,0.048
V82,10.194,-1.159,0.034
V83,10.358,-1.059,0.013
V84,9.69,-0.896,0.017
V85,7.025,-1.274,0.055
V86,7.943,-0.69,0.173
V87,6.596,-0.943,0.061
V88,1.771,-1.144,0.129
V89,6.596,-1.236,0.045
