,Discriminacao,Dificuldade,Adivinhacao
V1,7.12,-1.365,0.003
V2,4.69,-1.325,0.007
V3,6.639,-1.466,0.104
V4,6.672,-1.463,0.004
V5,6.665,-1.463,0.003
V6,6.059,0.168,0.646
V7,-4.108,-1.988,0.284
V8,1.428,-1.145,0.1
V9,3.901,-1.28,0.008
V10,1.5,-2.523,0.107
V11,-0.626,-2.547,0.001
V12,7.909,-1.28,0.003
V13,-2.057,-0.976,0.001
V14,3.286,0.642,0.47
V15,7.354,0.971,0.109
V16,1.667,-1.6,0.01
V17,0.81,-3.67,0.097
V18,8.006,0.196,0.436
V19,6.672,-1.463,0.003
V20,11.104,0.26,0.634
V21,0.707,-1.816,0.027
V22,6.628,-1.582,0.003
V23,1.011,-3.359,0.091
V24,8.09,1.343,0.474
V25,1.325,-0.933,0.198
V26,-4.053,-1.712,0.01
V27,7.059,-0.255,0.619
V28,8.544,0.1,0.594
V29,-0.831,-0.368,0.001
V30,-0.855,-1.291,0.002
V31,1.235,-3.253,0.071
V32,0.967,-2.929,0.151
V33,5.121,0.044,0.499
V34,-1.808,-1.686,0.006
V35,3.729,-1.029,0.01
V36,-0.425,-0.426,0.023
V37,2.479,-0.392,0.323
V38,4.378,-1.837,0.005
V39,8.531,1.174,0.182
V40,7.911,-1.28,0.003
V41,6.664,-1.463,0.003
V42,-4.161,-1.454,0.01
V43,0.905,-1.715,0.022
V44,7.121,-1.365,0.003
V45,-3.152,-1.665,0.011
V46,12.508,0.381,0.49
V47,0.024,-2.245,0.199
V48,-2.246,-1.112,0.026
V49,-2.024,-1.255,0.002
V50,7.127,-1.365,0.003
V51,-2.766,-1.318,0.047
V52,4.219,-1.442,0.007
V53,1.07,-2.964,0.13
V54,4.22,-1.442,0.007
V55,8.951,-0.139,0.562
V56,1.561,-1.706,0.037
V57,6.664,-1.463,0.003
V58,6.661,-1.463,0.003
V59,1.116,-0.97,0.016
V60,-0.219,-0.46,0.106
V61,-3.596,-1.728,0.309
V62,-0.797,-1.219,0.001
V63,-1.274,-1.03,0.001
V64,4.22,-1.442,0.007
V65,4.978,1.745,0.039
V66,12.047,0.656,0.471
V67,7.122,-1.365,0.003
V68,3.986,-1.568,0.008
V69,-3.066,-1.458,0.038
V70,17.023,-0.407,0.467
V71,1.098,-1.825,0.014
V72,11.125,-0.414,0.585
V73,7.127,-1.365,0.003
V74,3.301,-1.182,0.005
V75,-2.267,-1.19,0.028
V76,0.889,-1.997,0.021
V77,7.123,-1.365,0.003
V78,6.98,-1.342,0.114
V79,4.228,-1.443,0.007
V80,6.626,-1.582,0.003
V81,1.12,-1.358,0.082
V82,0.708,-1.789,0.037
V83,2.098,-0.783,0.5
V84,3.898,-1.284,0.006
V85,3.504,-1.398,0.007
V86,6.626,-1.582,0.003
V87,-5.076,-1.85,0.01
V88,-1.023,-2.032,0.0
V89,2.539,-1.517,0.015
V90,8.767,-0.14,0.563
V91,0.65,-1.864,0.03
V92,0.61,-1.972,0.023
V93,-0.334,-1.789,0.011
V94,-0.228,-1.992,0.076
V95,7.086,-1.365,0.003
V96,6.604,-1.464,0.003
V97,10.409,0.474,0.487
V98,3.914,-1.278,0.008
V99,8.451,0.076,0.563
V100,6.513,0.709,0.52
V101,4.72,-1.325,0.007
V102,1.01,-3.364,0.089
V103,2.368,-0.271,0.663
V104,-3.932,-1.755,0.048
V105,5.204,-1.005,0.008
V106,13.152,-0.632,0.142
V107,-0.707,-1.218,0.001
V108,2.901,-1.465,0.008
V109,19.446,0.553,0.281
V110,4.945,-0.739,0.086
V111,0.436,0.044,0.017
V112,0.598,-0.333,0.037
V113,19.915,0.326,0.338
V114,4.691,-1.324,0.008
V115,3.05,-0.957,0.009
V116,4.688,-1.325,0.008
V117,4.126,-1.116,0.008
V118,6.604,-1.464,0.003
V119,2.94,-1.293,0.008
V120,3.708,-1.028,0.005
V121,6.604,-1.464,0.003
V122,-0.504,-1.148,0.005
V123,9.083,0.462,0.416
V124,13.256,1.686,0.207
V125,1.919,-1.023,0.007
V126,4.684,-1.326,0.003
V127,3.73,0.674,0.217
V128,3.307,-1.181,0.008
V129,12.264,1.452,0.281
V130,3.907,-1.279,0.008
V131,2.817,-1.232,0.009
V132,1.004,-0.949,0.021
V133,7.067,-1.365,0.003
V134,12.838,0.967,0.358
V135,-0.47,-1.337,0.004
V136,-3.931,-1.755,0.048
V137,1.852,-1.368,0.01
V138,-0.433,-3.44,0.003
V139,7.072,-1.365,0.003
V140,3.09,-1.072,0.007
V141,7.068,-1.365,0.003
V142,7.073,-1.365,0.003
V143,-0.358,-18.006,0.074
V144,-0.525,-3.379,0.002
V145,11.455,0.49,0.359
V146,8.852,0.719,0.525
V147,6.632,-1.11,0.003
V148,7.074,-1.365,0.003
V149,7.876,-1.28,0.003
V150,7.075,-1.365,0.003
V151,-3.621,-1.618,0.047
V152,9.078,-1.195,0.003
V153,7.798,-0.783,0.281
V154,12.879,0.498,0.338
V155,2.482,-1.286,0.009
