,acc_score,f1_score
GaussianNB,0.7729468599033816,0.8127490039840637
KNeighborsClassifier(8),0.6714975845410628,0.6822429906542056
DecisionTreeClassifier(),0.8019323671497585,0.8177777777777778
RandomForestClassifier,0.8743961352657005,0.8839285714285715
SVM,0.6618357487922706,0.7535211267605634
MLPClassifier,0.8067632850241546,0.8373983739837398
