,Discriminacao,Dificuldade,Adivinhacao
V1,7.062,-2.06,0.004
V2,6.662,-2.058,0.001
V3,3.295,-2.214,0.004
V4,-2.374,-2.409,0.0
V5,4.071,-1.71,0.005
V6,0.418,-3.055,0.259
V7,0.379,-1.896,0.026
V8,1.395,-2.363,0.004
V9,5.211,-1.987,0.004
V10,2.925,-1.672,0.029
V11,21.334,0.71,0.453
V12,7.853,-1.964,0.004
V13,-2.038,-2.046,0.001
V14,0.412,-3.619,0.033
V15,1.891,-2.007,0.015
V16,-2.076,-2.324,0.067
V17,5.039,-1.917,0.051
V18,2.322,-2.341,0.008
V19,1.131,-1.367,0.005
V20,0.555,-3.289,0.294
V21,3.149,-2.019,0.005
V22,-0.253,-10.558,0.039
V23,0.182,3.273,0.249
V24,-0.373,-1.161,0.006
V25,6.115,-2.303,0.001
V26,0.849,-1.537,0.018
V27,6.477,-1.115,0.52
V28,0.256,-2.913,0.033
V29,2.796,-1.614,0.02
V30,6.595,-2.16,0.004
V31,1.482,-1.542,0.004
V32,6.267,-2.164,0.001
V33,11.19,-0.304,0.495
V34,-2.313,-1.567,0.015
V35,6.668,-2.058,0.001
V36,0.352,-3.035,0.032
V37,18.034,-0.123,0.285
V38,7.569,-1.968,0.0
V39,22.679,-0.199,0.451
V40,2.361,-2.115,0.005
V41,1.754,-2.439,0.005
V42,-2.44,-1.634,0.0
V43,1.108,-2.393,0.004
V44,0.197,-4.006,0.096
V45,0.939,-4.985,0.072
V46,1.823,-1.438,0.005
V47,6.77,-2.058,0.001
V48,4.221,-0.243,0.734
V49,3.232,-1.817,0.005
V50,-1.94,-2.024,0.013
V51,8.109,-1.323,0.169
V52,5.018,-0.351,0.693
V53,0.693,-1.686,0.004
V54,6.772,-2.058,0.0
V55,0.912,-1.969,0.046
V56,-1.161,-2.487,0.0
V57,1.636,-2.131,0.011
V58,-0.687,-2.708,0.0
V59,9.196,-1.192,0.225
V60,0.796,-3.067,0.01
V61,6.774,-2.058,0.0
V62,-1.532,-2.042,0.041
V63,0.279,-1.431,0.034
V64,0.293,-2.995,0.041
V65,2.878,-2.142,0.005
V66,-1.555,-1.648,0.0
V67,0.29,-0.681,0.036
V68,0.247,-1.134,0.071
V69,4.852,-0.288,0.698
V70,6.126,-2.301,0.001
V71,6.777,-2.058,0.0
V72,2.772,0.027,0.598
V73,0.738,-1.278,0.033
V74,6.129,-2.301,0.001
V75,0.518,-3.942,0.215
V76,-2.477,-2.298,0.0
V77,1.937,-1.067,0.347
V78,3.831,1.618,0.306
V79,0.64,-4.863,0.103
V80,6.13,-2.3,0.001
V81,0.111,-7.953,0.085
V82,7.37,-1.334,0.152
V83,2.965,-2.127,0.003
V84,-1.035,-0.566,0.0
V85,-0.528,-3.638,0.0
V86,1.173,-1.997,0.005
V87,11.951,-0.299,0.574
V88,11.663,-0.319,0.477
V89,3.25,-1.227,0.632
V90,7.581,-1.968,0.0
V91,2.491,-2.462,0.005
V92,1.42,-1.493,0.02
V93,8.706,-1.867,0.0
V94,4.279,-2.245,0.001
V95,3.84,-0.479,0.75
V96,6.914,-2.057,0.004
V97,4.575,0.675,0.55
V98,0.745,-2.385,0.009
V99,11.918,1.057,0.232
V100,-2.566,-2.187,0.437
V101,-2.346,-2.254,0.001
V102,3.708,-2.403,0.01
V103,-0.692,-3.803,0.001
V104,-0.177,-5.685,0.041
V105,6.94,-1.493,0.01
V106,1.803,-1.207,0.018
V107,5.968,-1.884,0.004
V108,6.691,-2.057,0.0
V109,7.684,-1.966,0.004
V110,1.399,-3.287,0.11
V111,2.059,-2.109,0.004
V112,1.283,-1.964,0.102
V113,-1.499,-1.373,0.0
V114,9.425,-0.264,0.581
V115,6.595,-2.16,0.004
V116,7.061,-2.06,0.004
V117,6.776,0.982,0.392
V118,2.092,-2.102,0.011
V119,12.169,-1.256,0.225
V120,3.014,-1.683,0.008
V121,4.262,-2.389,0.001
V122,-0.581,-5.437,0.001
V123,5.14,-1.984,0.004
V124,-0.567,-2.199,0.0
V125,6.783,-2.057,0.0
V126,1.405,-3.278,0.112
V127,1.627,-2.01,0.004
V128,-1.208,-1.216,0.001
V129,-0.941,-1.473,0.001
V130,2.029,-1.2,0.013
V131,3.042,-1.091,0.687
V132,2.939,-1.953,0.004
V133,11.377,-0.928,0.238
V134,1.366,-1.574,0.008
V135,-0.622,-4.023,0.001
V136,6.595,-2.16,0.004
V137,7.06,-2.056,0.004
V138,1.524,-2.401,0.058
V139,6.792,-2.057,0.0
V140,4.355,-0.171,0.76
V141,5.565,-0.929,0.718
V142,4.66,-2.114,0.004
V143,11.978,-0.322,0.606
V144,-0.618,-5.22,0.001
V145,0.34,-2.774,0.09
V146,7.591,-1.968,0.0
V147,5.558,-1.672,0.005
V148,3.556,-2.09,0.004
V149,7.123,-0.782,0.678
V150,23.253,-0.212,0.451
V151,2.79,-2.158,0.004
V152,0.805,-4.98,0.088
V153,-0.783,-1.812,0.0
V154,5.803,-1.892,0.003
V155,-2.036,-1.968,0.001
V156,5.393,0.662,0.596
V157,0.854,-4.893,0.083
V158,5.119,-2.101,0.004
V159,2.255,-1.767,0.011
V160,-2.215,-1.991,0.0
V161,7.626,0.534,0.575
V162,7.592,-1.968,0.0
V163,0.125,0.497,0.104
V164,1.754,-2.439,0.005
V165,-2.789,-2.079,0.0
V166,1.415,-1.16,0.003
V167,21.656,-0.088,0.358
V168,22.018,-0.254,0.447
V169,-1.742,-1.564,0.003
V170,17.011,-0.847,0.308
V171,7.213,-1.916,0.132
V172,-0.124,-7.568,0.082
V173,2.187,-1.867,0.004
V174,-0.06,0.528,0.096
V175,5.832,2.043,0.372
V176,4.067,-1.689,0.002
V177,1.09,-1.772,0.007
V178,9.822,-1.283,0.225
V179,2.249,-1.912,0.003
V180,15.613,0.644,0.391
V181,1.529,-1.609,0.008
V182,-2.907,-2.421,0.0
V183,4.307,-1.786,0.005
V184,6.66,-2.156,0.004
V185,11.928,-1.299,0.207
V186,7.594,-1.968,0.0
V187,1.012,-2.032,0.01
V188,-2.374,-2.409,0.0
V189,3.709,-2.404,0.01
V190,7.061,-2.06,0.004
V191,2.715,0.958,0.332
V192,13.215,-0.353,0.507
V193,21.293,0.942,0.285
V194,1.985,-2.348,0.009
V195,1.705,-1.332,0.179
V196,6.292,-2.162,0.0
V197,-1.209,-1.042,0.0
V198,3.187,-1.748,0.005
V199,-1.95,-2.042,0.0
V200,2.703,-1.841,0.009
V201,6.706,-2.057,0.0
V202,3.611,-2.053,0.004
V203,1.368,0.769,0.591
V204,9.199,-1.118,0.216
V205,6.708,-2.057,0.0
V206,4.342,-1.776,0.005
V207,2.371,-1.716,0.002
