,Discriminacao,Dificuldade,Adivinhacao
V1,7.264,-2.141,0.004
V2,1.561,-2.407,0.005
V3,11.115,-0.232,0.673
V4,18.152,0.773,0.421
V5,7.817,-2.134,0.004
V6,1.624,-1.416,0.253
V7,7.601,-2.083,0.004
V8,4.43,-2.077,0.004
V9,-0.75,-2.89,0.0
V10,4.868,-1.989,0.003
V11,4.086,0.062,0.766
V12,0.375,-4.366,0.034
V13,3.437,0.412,0.636
V14,3.803,-2.174,0.004
V15,-1.415,-1.412,0.0
V16,0.121,-8.691,0.066
V17,-0.986,-1.686,0.001
V18,9.521,-0.203,0.72
V19,26.661,-0.375,0.474
V20,-2.007,-2.19,0.0
V21,4.376,1.168,0.647
V22,-2.522,-2.397,0.0
V23,-0.573,-2.89,0.355
V24,-2.853,-2.017,0.0
V25,14.538,-0.024,0.597
V26,8.62,-2.077,0.003
V27,0.382,-3.967,0.03
V28,30.133,-0.361,0.494
V29,1.739,-1.859,0.008
V30,9.112,2.005,0.313
V31,1.923,-1.239,0.262
V32,7.264,-2.141,0.004
V33,1.882,-2.148,0.006
V34,2.557,1.533,0.406
V35,-0.013,-2.459,0.126
V36,3.834,-2.03,0.29
V37,-0.496,-0.198,0.021
V38,-2.82,-1.726,0.0
V39,0.059,-4.256,0.133
V40,1.533,-1.19,0.424
V41,-1.185,-1.409,0.0
V42,10.676,-0.34,0.712
V43,-1.499,-2.133,0.0
V44,7.601,-2.083,0.004
V45,2.969,-1.793,0.003
V46,-2.898,-1.778,0.0
V47,1.746,-1.978,0.005
V48,3.142,-1.734,0.251
V49,3.463,-1.616,0.203
V50,3.5,-2.344,0.004
V51,2.49,-2.063,0.006
V52,3.144,-2.037,0.004
V53,1.27,-0.967,0.229
V54,1.495,-0.895,0.455
V55,10.354,-0.361,0.694
V56,1.022,-1.87,0.008
V57,0.549,-2.861,0.017
V58,-2.141,-1.9,0.0
V59,1.599,-2.136,0.006
V60,8.011,-2.081,0.003
V61,-1.719,-2.062,0.0
V62,7.025,2.25,0.426
V63,-2.083,-1.639,0.0
V64,2.537,-1.771,0.007
V65,-2.178,-2.057,0.0
V66,-2.376,-1.942,0.0
V67,4.267,-2.062,0.004
V68,4.238,-2.064,0.004
V69,1.593,-1.954,0.006
V70,2.504,-2.193,0.005
V71,3.462,-1.617,0.203
V72,-2.182,-1.768,0.0
V73,3.789,-2.189,0.004
V74,8.168,-2.08,0.003
V75,-1.28,-2.582,0.227
V76,7.976,-2.131,0.004
V77,-2.096,-1.908,0.0
V78,0.338,-1.167,0.059
V79,1.726,-2.438,0.005
V80,9.714,-0.199,0.714
V81,1.472,-2.137,0.005
V82,12.887,-0.317,0.662
V83,1.502,-2.098,0.004
V84,1.478,-2.017,0.004
V85,3.472,-2.321,0.004
V86,-0.815,-2.597,0.0
V87,2.137,-2.201,0.004
V88,3.529,-2.291,0.004
V89,6.6,1.484,0.509
V90,0.497,-2.221,0.016
V91,8.932,-2.03,0.003
V92,8.011,-2.081,0.003
V93,1.287,-1.044,0.017
V94,4.026,-1.829,0.004
V95,-0.702,-2.479,0.0
V96,8.876,-1.974,0.003
V97,1.363,-1.698,0.003
V98,0.166,-0.948,0.079
V99,4.062,-1.757,0.005
V100,-1.394,-1.64,0.0
V101,-0.919,-1.409,0.002
V102,2.955,-1.88,0.006
V103,6.573,-2.1,0.0
V104,-0.499,-1.19,0.002
V105,0.93,0.164,0.082
V106,8.881,-1.306,0.23
V107,2.24,-1.443,0.001
V108,-1.524,-2.1,0.0
V109,8.664,-1.299,0.229
V110,10.742,0.476,0.343
V111,18.491,0.925,0.362
V112,-0.15,2.54,0.072
V113,6.262,-1.825,0.003
V114,19.531,-0.05,0.455
V115,3.947,-1.874,0.002
V116,-0.225,-1.69,0.022
V117,-0.431,-3.24,0.0
V118,4.915,-1.986,0.003
V119,-1.292,-2.145,0.0
V120,8.501,2.331,0.261
V121,7.779,-1.963,0.0
V122,-1.042,-2.558,0.0
V123,8.922,-2.03,0.003
V124,5.48,-1.911,0.003
V125,14.48,2.234,0.252
V126,0.662,-2.439,0.016
V127,-0.806,-1.597,0.0
V128,6.574,-2.101,0.0
V129,15.633,0.563,0.368
V130,12.983,-0.322,0.693
V131,4.091,-2.079,0.004
V132,0.376,0.356,0.017
V133,9.812,-1.85,0.0
V134,1.696,-2.434,0.026
V135,2.496,-2.057,0.006
V136,7.853,0.42,0.429
V137,1.965,2.474,0.384
V138,7.332,-1.747,0.003
V139,4.597,-2.016,0.004
V140,0.135,-3.627,0.057
V141,1.298,-1.336,0.001
V142,3.33,-2.006,0.004
V143,8.876,-1.974,0.003
V144,6.448,-1.602,0.01
V145,10.41,-1.261,0.219
V146,2.31,-2.172,0.006
V147,13.405,1.513,0.34
V148,2.737,-1.097,0.722
V149,1.629,-2.323,0.005
V150,2.496,-2.057,0.006
V151,9.364,-2.029,0.003
V152,2.018,-1.532,0.002
V153,12.075,0.629,0.359
V154,17.078,0.318,0.392
V155,-0.07,9.389,0.108
V156,1.185,-1.846,0.037
V157,-0.715,-2.31,0.0
V158,0.065,-2.519,0.084
V159,1.96,-1.71,0.002
V160,6.27,-2.15,0.0
V161,3.923,-1.865,0.004
V162,2.722,-1.955,0.006
V163,-0.071,1.202,0.138
V164,29.61,-0.346,0.535
V165,6.041,-1.833,0.003
V166,1.409,-1.219,0.197
V167,6.338,-2.096,0.234
V168,0.52,-0.956,0.017
V169,3.498,-1.822,0.005
V170,1.499,-1.797,0.003
V171,-0.76,-1.974,0.0
V172,-0.893,-1.854,0.0
V173,0.759,-3.538,0.252
V174,2.722,-1.955,0.006
V175,-0.016,5.356,0.122
V176,18.063,0.311,0.464
V177,2.215,-1.682,0.004
V178,8.559,-1.745,0.002
V179,16.457,0.856,0.357
V180,8.57,-1.909,0.0
V181,6.061,-2.253,0.0
V182,6.062,-2.253,0.0
V183,2.062,-1.355,0.163
V184,-0.937,-1.451,0.0
V185,-1.528,-2.105,0.0
V186,-1.112,-2.687,0.0
V187,2.048,-2.242,0.005
V188,2.801,-2.252,0.005
V189,10.881,-1.337,0.143
V190,2.296,-1.947,0.003
V191,7.271,-2.14,0.004
V192,1.849,-1.246,0.012
V193,9.82,-1.851,0.0
V194,23.628,-0.355,0.535
V195,-0.858,-3.168,0.0
V196,3.699,1.381,0.289
V197,-1.416,-2.222,0.0
V198,-0.412,-2.826,0.0
V199,10.118,0.532,0.361
V200,14.736,1.325,0.255
V201,-0.754,-3.074,0.0
V202,10.109,-1.926,0.003
V203,2.981,-2.144,0.004
V204,8.917,-0.316,0.733
V205,3.501,-2.297,0.004
V206,3.998,0.638,0.459
V207,6.899,0.622,0.491
