Metodo,Acuracia
GaussianNB,0.909047619047619
BernoulliNB,0.4552173913043479
KNeighborsClassifier(2),0.8137681159420291
KNeighborsClassifier(3),0.8396687370600414
KNeighborsClassifier(5),0.8498550724637681
KNeighborsClassifier(8),0.8339130434782609
DecisionTreeClassifier(),0.9031884057971015
RandomForestClassifier(3_estimators),0.9349896480331263
RandomForestClassifier(5_estimators),0.9451552795031055
RandomForestClassifier,0.9653830227743272
SVM,0.7847204968944099
MLPClassifier,0.8165010351966874
rand1,0.5370370370370371
rand2,0.41358024691358025
rand3,0.5123456790123457
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
