Metodo,Acuracia
GaussianNB,0.8830227743271222
BernoulliNB,0.45958592132505177
KNeighborsClassifier(2),0.8293374741200829
KNeighborsClassifier(3),0.8409316770186337
KNeighborsClassifier(5),0.8308281573498967
KNeighborsClassifier(8),0.8105590062111802
DecisionTreeClassifier(),0.9030848861283642
RandomForestClassifier(3_estimators),0.9176604554865424
RandomForestClassifier(5_estimators),0.9190683229813665
RandomForestClassifier,0.9566459627329194
SVM,0.7961490683229815
MLPClassifier,0.7792960662525881
rand1,0.5370370370370371
rand2,0.5308641975308642
rand3,0.4382716049382716
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
